附件名,附件链接,下载次数,通知部门
附件2-福州大学2024年优秀教学管理人员申报表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643196,66,综合科
附件1-福大政21-47福州大学关于印发优秀教学管理人员评选办法的通知.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643197,65,综合科
附件4：参会教师名单收集汇总表.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590885,300,综合科
附件2：高博会日程总览.jpg,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590884,302,综合科
附件3：报名二维码.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590883,255,综合科
附件1：各单位选派教师参会名额安排表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590882,304,综合科
教务处2023年寒假用印安排.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11925515,1093,综合科
福州大学2022年优秀教学管理人员申报表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11830327,1001,综合科
福大政21-47福州大学关于印发优秀教学管理人员评选办法的通知.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11830328,894,综合科
闽教便函〔2022〕891号福建省教育厅办公室关于举办2022年省本科教育管理人员培训班的通知.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11357009,1192,综合科
附件4：2021年秋季全国大中专教材用书汇编数据-仅出版社.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605009,922,综合科
附件1：福州大学教材选用与供应管理办法（福大教【2020】22号）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605008,998,综合科
附件2：教育部办公厅关于加强高等学校使用外国教材管理的通知.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605006,960,综合科
附件3：已出版马克思主义理论研究和建设工程重点教材目录（截至2021年06月，共计99种）.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605007,898,综合科
福州大学学生证补办申请表.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7669008,983,综合科
福州大学学生证补办汇总表.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7669009,1191,综合科
2401制图C（上）、D、F期末考-1.13下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647296,25,教学运行
2401英语二期末考-1.11上、下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647283,90,教学运行
