通知人,标题,日期,详情链接,附件名,附件下载次数,附件链接
实践科,关于对2024年学院教学有关数据进行统计的通知,2024-12-30,https://jwch.fzu.edu.cn/info/1039/13836.htm,2024年学院教学有关数据统计表格.zip,176,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742546
教学通知,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,,https://jwch.fzu.edu.cn/info/1012/13848.htm,,,
综合科,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,,https://jwch.fzu.edu.cn/info/1035/13847.htm,,,
计划科,关于核对2024-2025学年第二学期通识教育选修课开课信息的有关通知,,https://jwch.fzu.edu.cn/info/1038/13841.htm,,,
教学运行,福州大学关于印发授予普通全日制学生学士学位工作细则的通知,2024-12-31,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=13842,,,
教材中心,关于开展2025年拟出版本科教材审核工作的通知,2024-12-31,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,附件4：福州大学本科教材校外编写人员政治审查表.docx,11,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742686
教材中心,关于开展2025年拟出版本科教材审核工作的通知,2024-12-31,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,附件3：福州大学本科教材编写人员政治审查表.docx,8,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742685
教材中心,关于开展2025年拟出版本科教材审核工作的通知,2024-12-31,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,附件1：福州大学教材管理实施细则.pdf,6,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742681
教材中心,关于开展2025年拟出版本科教材审核工作的通知,2024-12-31,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,附件2：福州大学本科教材编写人员汇总表.docx,9,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742682
教材中心,关于开展2025年拟出版本科教材审核工作的通知,2024-12-31,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,附件5：福州大学本科教材编写审核表.docx,6,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742683
