这次再试试，虽然可能依旧会失败，会被现实毒打	，但还我这个屡败屡战的深夜轮回重症患者还是想再试试。谢谢所有书友！
那种轻语像是春风化雨，丝丝缕缕，	滋润人的心田，王煊满身都是光雨，舒服地让他想呻吟。虽然是元神状态，他也有种眼皮越来越沉重之感，但是，他知道，绝对不能昏睡过去，不管是好还是坏，真要是一梦千古，外面他的身体会“凉掉。至于家人和朋友，或许此生都见不到了，他运转精神法门，效果不大，直接轰的一声，给自己来一挂雷电“真疼啊”他不得不下重手，刚才他连着运转数种精神法门，居然都没有挣脱出那种状态。
呲.鲜红的血水飙出来了，于瑾那	美丽雪白的脖子上出现一道可怕的裂痕，其发光的仙道之血止不住地向外喷。各方都心惊，金阙宫这位女弟子是有名的奇才，成长潜力巨大，将来必然是该道统核心高层之一。现在她的喉咙断了，一道可怕的血口子清晰可见，让众多天才人物感同身受，不由自主倒退了两步。甚至，有些人摸了摸自己的脖子，一切都是因为观战太投入，沉浸在这场极其激烈的大战中，他们自然不可能带入那个二大王。
沿途，大地上阡陌纵横，多为灵田，从药草异果到妖修喜欢吃的神性谷物等，应有尽有。黑孔雀圣山，是一个天外文明，栖居的族群其实种类	不算少，第一大族毋庸置疑，其他也多为妖族，人类也有，但属于小众族群。路上所见，既有平原盆地坐落着城郭村镇，居住着化形的妖族，也有湖泊大泽和高山险崖，栖居着原始不走化形路线的异类。
这是什么转折？他请来的最强真仙，转头就去向陆仁甲见礼。接着，卓非凡发现，路无法进入金书玉册战场后，还向他这边看了几眼，在为陆仁甲解释“嘶”他连吸一口气都觉得塞牙，自己请来的绝顶真仙，居然转头就去投敌了，将他给卖了“这就是你请来的人”卓	嫣然瞥了他一眼，要不是看在他没有功劳也有苦劳的份上，又想一拳将他砸晕了。
海风徐徐，送来略带咸味儿的潮湿空气，也吹得碧海泛起阵阵波纹，让片片碎裂的星光随海面起伏。王煊刚出水面，就见到一个交织有规则纹理的金属钓钩，划出一道弧线，冲着他就来了，精准而迅疾。哧的一声，夜空被穿透，锋利的钓钩刹那就到了眼前，寒光闪闪，直接来锚他的天灵盖。出人预料的遭遇，让他惊愕，刚来到异海的这一侧，就被人盯上了，当鱼来钓？他钓鱼，钓猫，又钓笋，还接连钓异人，这是冥冥中的安排，要给他校正，报复回来吗？他右手食指轻弹，当的一声，火星四溅，道韵绵绵，在虚空荡漾涟漪，那枚锃亮的神金钓钩被	击飞出去了。
天空中，钟声宏大，伴着银色涟漪荡漾，洗涤世间，像是在净	化众生的心灵，沐浴在神圣光芒中，让人感觉宁静而悠远。一条巨大的通道从天而降，金光流动，宽阔无比，伴着光雨，带着大道神韵，一阶又一阶直通天外“走了，各位，赴会了”城中传出大笑声，有人率先带着族人腾空，沿着那条壮阔的道路登天而去“该去参加盛会了”另一边，两只朱雀通体鲜红，都是超绝世，直接显化出本体，带着族人展翅飞天。
到处都是光，人们什么都看不到了，入目所见，那是永恒之璀璨，见证不朽于一朝间盛放。一刀劈开生死界限，一狼牙棒粉碎虚空，两件兵器相互对轰后瓦解，消融了，唯有御道符文燃烧成光。茫茫一片，圣	光在论道之地肆虐，青石地面所有花纹都亮起，五重规则法阵复苏，阻挡这些光。还好，论道之地守护大阵足够惊人，是异人的手笔，不然的话，御道符文之光倾泻出去，那将是灾难性的。
王煊看向卓嫣然，吃块笋片就要挨打？他开	口道“姑娘，大气一些，不就是块阴阳玉竹笋吗？算得了什么“呵，你大气，怎么不送我们”卓嫣然反问。安静琪更是开口“她说你要挨打，算是为了你提前卜了一卦“你们的果盘吃完了，竟然还有新鲜的送来，原来每人两盘啊。我的第二份送你们了，还你们人情”王煊说罢，再次拈起一块果肉送进嘴里，起身而去。
“我是谁？岁月苍茫，积淀下来的一点尘埃，谁还在乎过去。若是看过往的话，人失了心，成为冷冰冰的机械，牲畜脱了皮毛，高坐世外。就是那真圣，呃…我说到哪里了”它倏地止住了，还要王煊提醒它一下。王煊正琢磨它的话呢	，结果，发现它好像是健忘了“你正要说真圣”他立刻告知“哦，提到真圣的后人，怎么样？全新而刺激的生死对决，前所未有的巅峰体验，就等你动手了。
手机奇物屏幕暗澹，流动黑雾，变得很深邃，它处在深思状态中。王煊和剑仙子对视，它这种压抑的表现，让人跟着紧张。养生炉更是严阵以待，唯恐有莫测	的事件发生，在它看来，手机奇物有大问题。它觉得，手机奇物可能才是精神问题最严重的恐怖怪物！很长时间后，手机奇物开口：＂我应该来过这里，大概在这里给人拍过照。＂就这？王煊想捶它！这么深沉，这么压抑，到最后就是因为它的一些日常行为而已，给人拍摄过遗照？养生炉却越发认为，手机奇物精神有旧疾，无比严重，正常的怪物谁没事四处拍照“走了”王煊拎着直径一尺多长的炉盖，当作盾牌用，在前面开道。
（真过渡到上午了，莫名作息正常中。）外太空，陨石上，王煊被六根铜矛钉穿，血液虽然止住，但剧痛不减，且拔不出六杆矛。"怎么解决它们?"他数次尝试替无果，我指都从铜矛上划过，象是穿过虚影。内这是一种很可怕的体验自身分明被六矛刺穿，剧痛伴着鲜血，但却接触不到它们，六矛象是超脱现实世界。"记载有限；"很少，中招	的超凡者都死了。
两年后，王煊体外光雾氤氲，缓缓流动，形成一个柔和的光团，把他包裹在当中看着祥和，其实，那每一缕光雾爆发，都会形成可怕的剑气，足以撕裂天穹。从真圣后院稻草人身上得到的4页创经，被他参悟多年了，将可怕的剑光生生练成了光雾，朦胧而祥和。宏大、恐怖的剑意以极致柔和的状态体现，	光雾中演绎万物消长的景象。在真仙的领域，这样的剑光若是斩出去，有些不可想象!在剑光撩绕中，铜矛被拔出一些!但王煊却在爱眉，深吸一口气，海量的光雾，伴着世间万象，各种景物，全没入体内。
月宫悬空，承接世外道韵，流转烟霞灵机，缭绕混沌物质。它像是一轮不朽的神月，横空世外之地，永恒不坠。在场的人都很平和，从容，来自真圣道场的门徒，最突出的地方就是自信，有底气。	有些人被称赞后，是因为稳重与自恃，面色不变，只是简单点头回应了下。而有些人，那还真!觉得就是如此，他们自身就是这么认为的，自己是横世天骄，注定要睥睨星海。
元天全身符文流动，气息可怕，拳光照亮整片道场，但是，一切都戛然而止，被人一把攥住身体。"他想挥动另外一个拳头，破解眼前的危局，但是，全身如陷入静止画卷中，想动弹很艰难。他觉得，自己像是被"命运"扼住了喉咙，灵魂都在跟着季动。事实上，他确实被人一把攥住脖子，将他提了起来，双脚皆离开地面。"快点，叫叔!"王煊催促，对归墟道场	的4次破限弟子，没什么好感，下手自然不会留情。
