你只要装修大部分时间都是在“折腾”	的路上吗？很无力、很焦灼？很想摆烂吗？你觉得仅仅是因为自己不懂，是非专业人士吗？不，是你在“过度装修“过度装修”是基于对装修的过度重视，而过多的付出时间、金钱、精力的一种行为，让整个装修都处于一种消极的状态。2022年的一项调查显示，中国超过60%的家庭，都在“过度装修。
更新，好感动，评论区的各位成都朋友，反过来给我推荐了很多新美食，好想再去一趟，好想长多几个胃！一把辛辣一把汗的，一觉睡醒收藏量竟然快1500了，谢谢各位吃货的	点赞和感谢，好开心~以下补充7位朋友的推荐~~天啦好想去吃！(-｡-;)大家不能只收藏不点赞呀！收藏量都是点赞量两倍了，我好想上一千赞，求求你~-以下为原答案~~~~~~~~~~作为土生土长的广东人，吃辣水平永远被鄙视，上次去成都，朋友们都是奔着辣去的，于是蛋烘糕、 糍粑 、红糖锅盔就成了我的救赎23333。
来更新一波最近比较火的餐厅 吃这些都要做好排队的准备。小龙坎！大龙！龙森园！川西坝子！爱妻牛排火锅！谭鸭血！以及	！我们成都人很爱吃的泰式火锅！朴田！集渔！青龙正街！红辣椒！马旺子！成都吃客！饕林餐厅！鸡毛店！老妈蹄花！二孃鸡爪爪！炒作大师！冒椒火辣！牛签签！马路边边！小郡肝！老街小牛！距离我写下这个答案已经几年了 成都美食增长的速度让我完全跟不上.现在我觉得以前的答案已经了，因为这些是成都人吃的一些店，可能会带有大家的感情色彩，而且也是当地口味。
每次去成都，恨不得自己有 3 个胃！2017 年的第一个回答，献给我最爱的城市成都。很久之前就想写这座城，但可能因为太过熟悉，反而不知道如何下笔。上个月陪好朋友在成都大吃三天，好友吃的开心，一路直呼不想离开。这次把餐厅列表整理了出来，总共 7 家，以下	原文首发于我的公众号「味之道」。但很多同学可能都有一个疑问，成都火锅和重庆火锅究竟有什么差别呢？最大的差异其实在于汤底，早年间重庆火锅多用牛油，而成都火锅更多地使用菜籽油。
2017.12.31 跨年的更新⬆️这家我在网上做了许久	功课跨年这天约了几个好友一起来吃以前成都有一家特别有名的但是已经被我拉黑因为味道变得太不好吃了这家的蛙据说是下单后厨房现杀但是没去厨房验证 不好说蛙吃起来还是很鲜活的味道除了蛙 着重推荐焦糖豆花 蒸饺豆花解辣 而且口味很清淡爽滑蒸饺的内陷是卤肉 好香哦 但是多吃几个有点闷人最后要说的是服务态度很好 人均也不贵位置在玉林片区 成都以前的美食集散地—2017年底的一次更新感谢大家的厚爱 不断的点赞以及感谢这一年因为工作的关系 外食变少成都开了好多店也没有去踩过吃的馆子也是无比集中下面回答里还在不断去吃的馆子有、峨眉山双双原汁烧烤其他店子真的因为太远以及我懒 没有再去光顾歇业的不少哪一天想再去吃一次朵颐庭发现已经关张唏嘘不已啊说正事今年我最喜欢的火锅是【】最开始知道它就是因为春熙路那家排队小票刷爆朋友圈一时间大家都去排队 刷朋友圈我这个思想极度保守的人所有很作妖的事情我就是尽量回避的后来第一次吃是因为同事们聚餐她们混华阳的选的 我跟到去吃粑片儿 又不要我去排队反正吃一下又没得啥子损失华阳店相对排号没有那么夸张+有同事提前去排号我们下班赶过去还是很快就吃到了哎 吃了那一次 我深刻地觉得我真的是太要不得了咋个思维那么封闭喃别个那么多人排队 家家生意火爆肯定还是有原因嘛那当然是味道好啊【但是我用这个思维套电台巷火锅的结局是很悲惨的】反正就是食材新鲜 锅底鲜香后来我周末约起我自己的好吃狗朋友来吃结结实实排了2个多小时队在所有人都要放弃的时候他们吃了之后放下了想砍我的菜刀排骨 肥肠结子 麻辣牛肉大众点评上面的推荐菜你点是没错的但是有一个要提醒大家的事情 成都现在很多仿冒的比如说他也叫 xiǎo lóng kǎn 但是加点其他什么鬼画符的字在招牌上 你就认识小龙坎的那种 还有用繁体字的 要吃到正宗小龙坎大众点评上面找到春熙路的那家 进入他家自己的商户列表 找离你最近 最不排队的一家去吃吧 weekdays排队要比周末的时间缩短至少1/3第二家很适合冬天去吃我周五刚刚去复习了他家的味道都一直水准在线【玺鼎板栗鸡】大众点评搜地址哈主要是冬天了 想喝汤想吃热火的 而且好吃狗里面有个朋友怀娃娃了 我们时候估计她走哈清淡路线鸡是39/斤 但是基本上都是6-7斤的所以如果人少 人均就相当高但是吃不完打包回家第二天包点抄手煮鸡汤抄手还是很不错的鸡肉口感还是很紧致 不柴 板栗炖得软糯 而且富含叶酸 （敲黑板！汤面一层鸡油 汤本身还是很鲜美 肉嘎嘎吃完可以再煮菜进去—不知名串串的老板电话：地址和开摊时间大家自己打去问问~置顶一个串串 作为不知名串串消失了的补偿【牛三签砂锅串串】大众点评可搜到地址这家是在我家附近美食圈我挑剔的老汉儿先去吃了几次 赞不绝口后来我吃了之后就带我的好朋友们去吃都是一致好评牛肉是特色码得很入味 肉质很嫩 除了纯牛肉还有牛肉夹芹菜 牛肉夹野山椒 牛肉夹香菜基本上我们每次去吃都是吃肉 素菜很少吃但是推荐玉米 重口味千万不要放过它小吃我们经常吃的是冰粉看到上面的醪糟了吗？就是加了醪糟特别好吃果然用的是砂锅 保温性能好 也算节能但是菜品我每次都忘记拍因为稍不注意烫好的就被他们抢光了对啦 粉条好吃 每次吃的差不多了 煮一份红薯粉进去 宽粉吸味 牛肉的精华都在汤里了 你懂的成都还有一样肥肠粉 大家都应该晓得这家可以在串串里面煮结子哦！太幸福了反正你在成都的话 一定要去吃weekday去晚了都要排队不要吃了 太脏了 每次吃都要胃肠炎还没这家好吃—最近踩雷比较多 都没有更好在功夫不负有心人吃到了一家觉得可以推荐的馆子有点远在附近 成自泸高速万安出口叫做【小鱼儿鳝鱼】主打菜就是鳝鱼 还有各类河鲜脆鳝每桌必点真的师傅火候拿捏很到位啊端上来绝对是脆嘣嘣的 不绵但是放久了 还是要遭hān软所以上桌先捞鳝鱼来吃除了鳝鱼里面的配菜也很出色干笋 玉兰片 粉条除了鳝鱼还有牛蛙哇 小时候外婆做的味道 牛蛙里面配的豆花 你懂的其他三角峰做成藿香+泡豇豆的口味 吃完你会回来谢我的⬆️蓉海汇深藏在白家海产品批发市场里面做的是海鲜加工你可以在楼下市场买了海鲜拿到他那里加工也可以直接在他门口水池里选吃什么然后交给厨房在成都这个海鲜全靠引进的城市吃海鲜成本必然是不低的但是这家店性价比超高上图的扇贝8块钱一个 这个肉头要是在成都随便找一家海鲜烧烤都不止这个价钱 关键还是现杀的但是吃过很多次我也就只拍了一个扇贝 如果不是今天删照片都想不起来如果馋了想吃海鲜 这家是我的首选⬆️⬆️⬆️峨眉山原汁双双烧烤喜欢撸串的朋友千万不要错过乐山除了大佛还有各种好吃的这家简直好吃到不要不要的黄喉、五花肉、魔芋、包浆豆腐鸡翅、鸡皮、牛肉平时都是排队两小时 进店等菜半小时的节奏但是吃过之后一定会日夜思念分店有几家 但是净居寺这家据说是老板亲自坐阵 味道有保障最重要的是有峨眉雪汽水峨眉雪之于成都人就相当于北冰洋之于北京人啊 五花肉 肥肉和瘦肉切成小方块 间歇穿起来咬一口肉香 油香一起在嘴中绽放的我可以吃好多好多原答案：成都土著+吃货坐不住了先占坑，然后慢慢丰富我要去翻上面的相册先将就手机上面的照片写几个以下不是美味指数的顺序，是我手机相册翻到的顺序哈~⬆️（地址可以去大众点评找）成都前两年迅速蹿红的小吃店，卖的鸡脚有辣卤有炸的干拌的，吃的就是一个特色，装修也挺川西风格+混搭的,吃起耍还不错⬆️ 我记不到名字的苍蝇馆子（地址在大源村公交站184路终点站附近）上面的才分别是余香茄饼、回锅肉、肝腰合炒，都是，味道也相当可以，如果想体验啥子是苍蝇馆子，我绝对推荐这家，毕竟现在明婷都是专门外地人吃的了…地方不是很好找，但是如果你下决心要吃，我肯定帮你找到地方！⬆️不知名串串 大众点评上面的地址是我贡献的，吃之前要给老板打电话问他今天摆不摆这个是我压箱底的串串，老板天气不好不摆，牛肉没买到不摆，心情不好不摆，所以一定要打电话去问，地址大概是在里面靠近二环路西区医院，反正你如果要吃又找不到，我还是保准帮你找到起咋个去，老板的牛肉一绝，嫩但是又有嚼头，就摆中午，每次去都要排队，老板看菜不多了要幺人走，给你说吃不到了，反正吃一次不容易就是了⬆️签名法饼这家好找了，大众点评有，拿破仑性价比超级高，中午去品种比较齐，然后下午晚上去就只有剩啥子买啥子了⬆️在市中心的著名鬼饮食，环境不要想了，服务员都是老mermer，但是这家吃了很多年，成体开演唱会我就喜欢吃这家，里面的泡萝卜好甜好甜！分量两个人吃小份肯定吃不完的，性价比也是高爆表的⬆️大碗面 注意不是我最早开始是吃的熊姐 但是现在越吃越觉得没吃头，就是各种绍子放到一个碗里，没有形成一个整体，这家其实就离熊姐不太远，但是调料却要更盛一筹，作为喜欢吃面的人 我还有几个库存 空了在更~—清明小长假的分界线—⬆️正宗罗氏家常特色菜娇娇带我杀到龙泉吃的苍蝇馆子小小一条街 停闷了车子酱肉包子肉馅十分多，搞得我开没有开始吃正菜就快饱了，和鸡鸭杂每座必点，真的太好吃咯！一如当年的明婷，虽然偏远，但是味道绝对不摆了！⬆️香飘飘冒菜馆好基友原来在附近上班，经常来照顾生意，老板娘都认得到他，他师奶杀手一枚。
我们每天都说很多虚情假意的话，干很多身不由己的事。陌陌好友萱萱要继承家族茶山求小哥哥买上一点；隔壁许老爷子瞒着半身不遂的老伴儿和吴大妈跳了；重庆人老张调侃了四十年成都人，	却在收获一段来自“川A”的爱情后，把QQ签名改成了“川渝一家亲。老张的上半生为重庆人的彻底独立呐喊，下半身为川渝的共荣而无比骄傲。他骄傲地向我推荐成都的一切美食，骄傲于“百菜百味，一菜一格。
题前：第一个认识的汉字是“赟，开蒙读的是屈夫子那篇《离骚》。若问我中文难不难，答案是不难，由繁入简易。启蒙阶段国内国外轮着住，在国外飙英语，在国内切换国语，切来切去，在前面的理解上追加了一点，中文比其他语种难。熟悉其他语种并不是什么值得炫耀的事儿，中英夹杂着写文章会让我显得像个没见过世面的庸徒。不排除长期养成的口语习惯，会在激动时蹦出一两句，再到书	面表达，尽量译好后传，盖因上述，写得慢些，在等着看的知友们望见谅。
夏天家里天天开空调，门窗不通风。秋冬季节怕冷	，经常家里一天通风也就半小时。所以我家里基本天天都会开空气净化器。真的，我从17年到现在，5年的时间，买过戴森、松下、IAM、IQAIR、美的、舒乐氏…有的品牌还买两个。真不是我夸张，在我还是一个工薪族的时候，已经在购买空气净化器上面花了3万多块软妹币！确实也是因为在购买空气净化器上踩过不少坑！比如，便宜的空气净化器会出现滤网发酸的现象；再比如，有的空气净化器真的噪音好大！再再再比如，有的品牌跟你说除甲醛，不跟你说除甲醛的效率啊，附加一堆功能给你整个智商税呗作为一名有5年实战经验的老司机了，为了让大家少踩坑，码了很多关于空气净化器的文章，也做过不少实测。
我一直认为咸味儿应该是一个人来到这个世界上后第一个认识的味道：血液是咸的，汗水是咸的，眼泪是咸的，母乳也有咸味儿，甚至皮肤给味蕾的直观感受也是微咸的…这些与我	们自身息息相关的味道里面都无法避开”咸，说到咸味自然避不开”盐。盐可是居家必备好伙伴，炒菜做汤？来点盐！铁质丰富的水果氧化变色？来点盐！就算是喉咙发炎都可以盐水伺候…说到盐，不知道大家第一个想到的是啥，我下意识想到的是这两种对我来说最常见的食盐：简单来说，盐可以分成和海盐两种。
我们的日常用盐似乎就是一种，但是西餐里的	盐却花样繁多。为什么会有这种差别？这些盐五颜六色，有粗有细，又到底有什么特别之处？这大概是由两方面原因造成的，一是国内长期的；二是烹饪用盐习惯上的差异。为了保证食盐加碘，国内长期实行，比如要求非食盐定点生产企业不得生产和销售食盐，食盐标准统一，食盐不能跨区销售等。
