               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089128,            0.039761,            0.063587,           0.0023946,           0.0023779,          0.00071348,          0.00017659,            0.085635,            0.023451,            0.058581,           0.0033294,           0.0033294,            0.070035
                   1,            0.078556,             0.04176,            0.057379,             0.01027,             0.11289,            0.010413,           0.0026885,            0.069342,            0.025652,            0.053265,           0.0066613,           0.0066613,            0.040034
                   2,            0.065468,            0.041579,            0.052742,             0.52914,             0.11147,            0.038332,            0.010694,            0.061519,            0.024268,            0.047663,           0.0099872,           0.0099872,            0.010027
                   3,            0.059746,            0.039837,             0.04814,             0.34674,             0.16948,            0.094256,            0.033383,            0.055539,            0.023272,            0.042231,             0.00998,             0.00998,             0.00998
                   4,            0.056155,             0.03852,            0.043195,              0.2661,             0.20249,             0.11691,            0.040131,            0.053408,            0.022325,            0.037175,             0.00998,             0.00998,             0.00998
                   5,            0.053863,            0.037978,            0.039802,             0.24068,             0.29337,             0.16614,            0.066514,            0.051097,            0.021889,             0.03305,           0.0099645,           0.0099645,           0.0099645
                   6,            0.052098,            0.037188,            0.037042,              0.3107,             0.27287,             0.20763,            0.088832,            0.049346,            0.021422,            0.030551,           0.0099446,           0.0099446,           0.0099446
                   7,            0.051012,            0.037036,            0.035472,             0.26488,             0.34396,              0.2183,            0.097049,            0.047832,            0.021132,            0.029516,           0.0099203,           0.0099203,           0.0099203
                   8,            0.049463,            0.036574,            0.033333,             0.36045,             0.31507,             0.25979,             0.12451,            0.046397,            0.020769,            0.027403,           0.0098916,           0.0098916,           0.0098916
                   9,            0.048712,            0.036137,            0.032004,             0.33081,             0.34726,             0.27681,             0.12933,            0.046311,            0.020593,            0.026951,           0.0098586,           0.0098586,           0.0098586
                  10,             0.04744,            0.035826,            0.030582,             0.39145,             0.33499,             0.29627,             0.14494,            0.045253,            0.020393,            0.024557,           0.0098213,           0.0098213,           0.0098213
                  11,            0.046929,            0.035555,            0.029205,             0.34986,             0.38153,             0.30706,             0.15129,            0.045426,             0.02011,            0.023925,           0.0097798,           0.0097798,           0.0097798
                  12,            0.046166,            0.035333,            0.028502,             0.41748,             0.36168,              0.3326,             0.16921,            0.044432,            0.019843,            0.023792,            0.009734,            0.009734,            0.009734
                  13,            0.045725,            0.034833,            0.027501,             0.41706,             0.40139,             0.36017,             0.18611,            0.042911,            0.019688,            0.022122,            0.009684,            0.009684,            0.009684
                  14,            0.045277,            0.034755,             0.02691,             0.41525,             0.40885,             0.37537,             0.19519,            0.042037,            0.019464,            0.021334,           0.0096299,           0.0096299,           0.0096299
                  15,            0.044625,            0.034619,            0.026066,             0.46461,             0.42842,             0.40316,             0.21186,            0.041257,             0.01957,            0.019823,           0.0095717,           0.0095717,           0.0095717
                  16,            0.044231,            0.034083,            0.025695,             0.48281,             0.42977,             0.41252,             0.22397,            0.040809,            0.019388,             0.01899,           0.0095095,           0.0095095,           0.0095095
                  17,            0.043969,            0.034344,            0.024738,             0.51355,             0.44653,             0.43813,             0.24274,             0.04051,            0.019065,            0.018688,           0.0094434,           0.0094434,           0.0094434
                  18,             0.04293,             0.03361,             0.02446,             0.52053,             0.45732,             0.45342,             0.25234,            0.039617,            0.019016,            0.017816,           0.0093733,           0.0093733,           0.0093733
                  19,            0.042625,            0.033305,            0.023513,              0.5256,             0.45362,             0.45626,             0.25676,             0.03955,            0.018925,            0.018196,           0.0092995,           0.0092995,           0.0092995
                  20,            0.042394,            0.033497,            0.023311,             0.55103,             0.45393,              0.4784,             0.27117,             0.03906,            0.018702,            0.017634,           0.0092219,           0.0092219,           0.0092219
                  21,            0.041894,            0.033439,            0.022618,             0.50676,              0.4855,             0.47901,             0.27341,            0.038623,            0.018517,            0.016874,           0.0091406,           0.0091406,           0.0091406
                  22,            0.041886,            0.032939,            0.022045,             0.53552,             0.48438,             0.49119,             0.28286,            0.038091,            0.018484,            0.016689,           0.0090557,           0.0090557,           0.0090557
                  23,            0.041145,            0.032897,            0.021271,             0.53046,             0.50745,             0.49456,             0.28512,            0.037422,            0.018411,            0.016313,           0.0089673,           0.0089673,           0.0089673
                  24,            0.040971,            0.032594,            0.021325,             0.57572,             0.51176,             0.51694,             0.30598,            0.037213,            0.018256,            0.015774,           0.0088755,           0.0088755,           0.0088755
                  25,            0.040765,             0.03263,            0.020394,             0.57592,             0.50664,             0.52772,             0.31033,            0.036869,             0.01814,            0.015501,           0.0087804,           0.0087804,           0.0087804
                  26,            0.040323,            0.032557,            0.020261,             0.58135,             0.51511,             0.53466,             0.31717,             0.03669,            0.018095,            0.014722,            0.008682,            0.008682,            0.008682
                  27,                0.04,            0.032279,            0.019494,             0.55999,              0.5344,             0.53846,             0.32703,            0.036197,            0.017973,            0.014385,           0.0085805,           0.0085805,           0.0085805
                  28,            0.039494,            0.032177,            0.019045,             0.58785,             0.53149,             0.54997,             0.33432,            0.036051,            0.017907,            0.014098,           0.0084759,           0.0084759,           0.0084759
                  29,            0.039056,            0.032266,            0.018416,             0.56768,             0.55233,             0.55788,             0.34295,            0.035713,            0.017799,            0.013799,           0.0083684,           0.0083684,           0.0083684
                  30,            0.038827,            0.031868,             0.01864,             0.61048,             0.52625,             0.56426,             0.34876,            0.035375,            0.017685,            0.013674,           0.0082581,           0.0082581,           0.0082581
                  31,            0.038806,            0.031947,            0.017957,             0.57219,             0.56224,             0.56744,             0.35575,            0.035034,             0.01759,            0.013538,            0.008145,            0.008145,            0.008145
                  32,            0.038655,            0.031822,            0.018392,             0.60144,             0.55757,             0.57624,              0.3589,            0.035148,            0.017606,              0.0131,           0.0080294,           0.0080294,           0.0080294
                  33,            0.038389,            0.031244,            0.018084,             0.63391,             0.53886,               0.582,             0.36548,            0.034683,            0.017472,            0.013036,           0.0079112,           0.0079112,           0.0079112
                  34,            0.038186,            0.031301,            0.017397,             0.60224,             0.56328,             0.58393,             0.36874,            0.034431,            0.017415,            0.012888,           0.0077907,           0.0077907,           0.0077907
                  35,            0.037951,            0.031366,            0.017294,             0.59864,             0.58676,             0.58924,             0.37581,            0.034363,            0.017281,              0.0126,           0.0076679,           0.0076679,           0.0076679
                  36,            0.037356,            0.031123,            0.016765,             0.59093,             0.60458,             0.60189,             0.38306,             0.03407,            0.017179,            0.012314,            0.007543,            0.007543,            0.007543
                  37,            0.037254,            0.031192,            0.016658,             0.63813,             0.56751,             0.60442,             0.38421,            0.034087,            0.017288,            0.012858,            0.007416,            0.007416,            0.007416
                  38,            0.036922,            0.030747,            0.016511,             0.62322,               0.591,             0.61314,             0.39472,            0.033754,            0.017172,            0.011994,           0.0072872,           0.0072872,           0.0072872
                  39,            0.036371,            0.030344,            0.015901,             0.64259,             0.57288,             0.61149,             0.39247,            0.033599,            0.017117,            0.012104,           0.0071566,           0.0071566,           0.0071566
                  40,            0.036453,            0.030705,            0.015713,             0.63127,             0.58671,             0.61128,             0.39705,            0.033377,            0.017113,            0.011683,           0.0070243,           0.0070243,           0.0070243
                  41,            0.036054,            0.030478,            0.015277,             0.64254,              0.5891,              0.6183,             0.40522,            0.033217,            0.017002,            0.011601,           0.0068906,           0.0068906,           0.0068906
                  42,            0.036087,            0.030475,             0.01512,             0.64396,             0.58851,             0.62387,             0.40927,             0.03306,            0.016936,            0.011578,           0.0067555,           0.0067555,           0.0067555
                  43,             0.03581,            0.030218,            0.014839,             0.64854,             0.59927,              0.6262,             0.41075,            0.032923,            0.016878,            0.011251,           0.0066191,           0.0066191,           0.0066191
                  44,            0.035392,            0.029904,            0.014847,              0.6427,             0.60261,             0.63042,             0.41654,            0.032758,            0.016826,            0.011032,           0.0064816,           0.0064816,           0.0064816
                  45,            0.035256,            0.030232,            0.014246,             0.63258,             0.61265,             0.63437,             0.41995,            0.032804,            0.016753,            0.011113,           0.0063432,           0.0063432,           0.0063432
                  46,            0.035269,            0.029744,            0.014115,             0.65861,             0.60002,             0.64013,             0.42504,            0.032573,            0.016713,            0.011171,            0.006204,            0.006204,            0.006204
                  47,            0.034845,            0.029914,            0.013915,             0.66693,             0.59147,             0.64016,             0.42769,            0.032396,            0.016686,            0.011027,            0.006064,            0.006064,            0.006064
                  48,            0.034957,            0.029613,            0.013698,             0.67611,             0.58303,             0.63836,              0.4278,            0.032415,             0.01668,            0.011168,           0.0059235,           0.0059235,           0.0059235
