发布日期,发布部门,通知标题,通知链接,附件名,附件链接,下载次数
2024-12-30,【实践科】,关于对2024年学院教学有关数据进行统计的通知,https://jwch.fzu.edu.cn/info/1039/13836.htm,2024年学院教学有关数据统计表格.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742546,136
2025-01-02,【计划科】,关于核对2024-2025学年第二学期通识教育选修课开课信息的有关通知,https://jwch.fzu.edu.cn/info/1038/13841.htm,无附件,无附件链接,无下载次数
2024-12-31,【教学运行】,福州大学关于印发授予普通全日制学生学士学位工作细则的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=13842,无附件,无附件链接,无下载次数
2024-12-31,【教材中心】,关于开展2025年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,附件4：福州大学本科教材校外编写人员政治审查表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742686,9
2024-12-31,【教材中心】,关于开展2025年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,附件3：福州大学本科教材编写人员政治审查表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742685,7
2024-12-31,【教材中心】,关于开展2025年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,附件1：福州大学教材管理实施细则.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742681,5
2024-12-31,【教材中心】,关于开展2025年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,附件2：福州大学本科教材编写人员汇总表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742682,6
2024-12-31,【教材中心】,关于开展2025年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,附件5：福州大学本科教材编写审核表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742683,5
2024-12-30,【实践科】,关于举办福州大学第十一届桥梁设计大赛的通知,https://jwch.fzu.edu.cn/info/1039/13834.htm,附件2：福州大学第十一届桥梁设计大赛报名表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742381,12
2024-12-30,【实践科】,关于举办福州大学第十一届桥梁设计大赛的通知,https://jwch.fzu.edu.cn/info/1039/13834.htm,附件3：福州大学第十一届桥梁设计大赛-竞赛细则.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742380,21
2024-12-29,【教学运行】,关于2024-2025学年第一学期《大学物理A（下）》和《大学物理B（下）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13833.htm,2401大学物理A下、B下期末考-1.17上午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742324,37
2024-12-29,【教学运行】,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13831.htm,2401高等数学C上、D期末考-1.16下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742323,53
2024-12-29,【教学运行】,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13831.htm,2401高等数学A上、B上期末考-1.16上午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742322,125
2024-12-27,【教学运行】,关于做好期末复习考试及下学期开学等工作的通知,https://jwch.fzu.edu.cn/info/1036/13820.htm,无附件,无附件链接,无下载次数
2024-12-25,【教材中心】,关于开展本科教材工作自查的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819,附件1：福州大学本科教材工作自查表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647312,109
2024-12-25,【教材中心】,关于开展本科教材工作自查的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819,附件2：福州大学本校教师自编教材情况汇总表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647375,86
2024-12-25,【教材中心】,关于开展本科教材工作自查的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819,附件3：福州大学本科教材编写人员审核表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647311,70
2024-12-25,【教材中心】,关于开展本科教材工作自查的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819,附件4：福州大学本科教材编写审核表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647314,68
2024-12-25,【教材中心】,关于开展本科教材工作自查的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819,附件5：《普通高等学校教材管理办法》等文件.rar,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647315,57
