Title,Holder,Date,附件,附件名,下载次数
,,,,,
关于做好2024-2025学年第二学期教材选用与征订工作的通知,教材中心,2024/11/15,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571692,附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年08月，共计117种）.xlsx,173
,,,,,
关于2024-2025学年第一学期再次开放本科生学生证补办及火车票优惠区间更改的通知,综合科,2024/11/15,0,0,0
,,,,,
关于举办福州大学第五十九场“教学有道” 研讨活动的通知,质量办,2024/11/14,0,0,0
,,,,,
关于公布2024年福州大学第十八届本科生数学建模竞赛获奖名单的通知,实践科,2024/11/13,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571132,附件1：2024年福州大学第十八届本科生数学建模竞赛获奖名单.xlsx,2013
,,,,,
关于2024-2025学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,教学运行,2024/11/12,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15565434,2401习概随堂考.xlsx,349
,,,,,
关于组织申报2024-2025学年第二学期通识教育选修课的通知,计划科,2024/11/11,0,0,0
,,,,,
关于举办福州大学第五十八场“教学有道”研讨活动暨数字教材建设专题研讨会的通知,教材中心,2024/11/11,0,0,0
,,,,,
关于公布2024学年各学院转专业实施细则的通知,教学运行,2024/11/8,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14924468,2024各学院转专业细则.pdf,4148
,,,,,
关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程半期考试安排的通知,教学运行,2024/11/7,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14923476,2401线性代数、线性代数与解析几何半期考11.24上午.xlsx,364
,,,,,
关于开展2024年度教育部产学合作协同育人项目结题验收工作的通知,教研教改,2024/11/5,0,0,0
,,,,,
关于2024-2025学年第一学期在校学生申请辅修专业的通知,计划科,2024/11/1,0,0,0
,,,,,
关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,教学运行,2024/10/29,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920804,2401高等数学A（上）、B（上）、C（上）、D半期考11.17上午.xlsx,1494
,,,,,
关于期中党政领导集中听课的通知,质量办,2024/10/28,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920325,附件1：福州大学课堂教学质量评估表.doc,136
,,,,,
关于做好2024学年本科生转专业工作的通知,教学运行,2024/10/23,0,0,0
,,,,,
关于进一步加强马克思主义理论研究和建设工程重点教材选用工作的通知,教材中心,2024/10/21,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918680,附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年05月）.xlsx,50
,,,,,
关于举办2024年教师教学创新大赛培训会暨第五十七场“教学有道”研讨活动的通知,质量办,2024/10/21,0,0,0
,,,,,
关于做好2025届预计毕业生电子注册图像采集工作的通知,教学运行,2024/10/21,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918535,附件3：获得图像采集码途径.pdf,774
,,,,,
关于2024-2025学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,教学运行,2024/10/18,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918114,2401大物A（下）、B（下）半期考11.2上午.xlsx,438
,,,,,
关于2024年新上岗教师教学达标培训班教师配备导师的通知,质量办,2024/10/16,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14917430,附件：2024年福州大学新上岗教师达标培训班名单（配导师）.xlsx,538
,,,,,
诚邀2019届毕业生参与培养目标达成和职业发展问卷调研,质量办,2024/10/15,0,0,0
,,,,,
关于举办第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,实践科,2024/10/15,0,0,0
,,,,,
关于举办福州大学第五十六场“教学有道”研讨活动的通知,质量办,2024/10/15,0,0,0
,,,,,
关于全校性通识教育选修课《爱课程：管理沟通》学习的重要提示,计划科,2024/10/14,0,0,0
,,,,,
关于2024-2025学年第一学期《概率论与数理统计》课程半期考试安排的通知,教学运行,2024/10/12,0,0,0
,,,,,
关于填报课程学生出勤率信息的通知,教学运行,2024/10/11,0,0,0
,,,,,
关于2024-2025学年第一学期《高等数学A（下）》课程半期考试安排的通知,教学运行,2024/9/30,0,0,0
,,,,,
关于2024年高校教学基本状态数据库教学相关数据报送的通知,实践科,2024/9/29,0,0,0
,,,,,
关于开展福州大学2024年教师教学创新大赛的通知,质量办,2024/9/29,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14914281,2401概率论半期考10.27下午.xlsx,280
,,,,,
关于组织2024级新生开展学籍信息自查工作的通知,教学运行,2024/9/27,0,0,0
,,,,,
关于举办2024年福州大学大学生工程实践与创新能力大赛暨2024年福建省大学生工程实践与创新能力大赛福州大学分区赛的通知,实践科,2024/9/27,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14911585,2401高等数学A（下）半期考10.13上午.xlsx,387
,,,,,
关于举办福州大学第五十五场“教学有道”研讨活动的通知,教材中心,2024/9/25,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14911306,2024年本科教学相关数据报送表格.zip,379
,,,,,
关于2024年国庆节放假课程调整的通知,教学运行,2024/9/24,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14911304,附件.rar,307
,,,,,
关于通识教育选修课《国际化拔尖创新人才科研训练》宣讲会及选课的通知,计划科,2024/9/23,0,0,0
,,,,,
关于组织2024级学生参加《大学生国家安全教育》课程学习的通知,计划科,2024/9/23,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14910724,附件1：组委会成员名单.docx,477
,,,,,
关于公布《大学生国家安全教育》课程实施方案的通知,计划科,2024/9/23,0,0,0
,,,,,
关于开展思政课教学专项检查的通知,质量办,2024/9/20,0,0,0
,,,,,
关于2024-2025学年第一学期2024级体育理论教室安排的通知,教学运行,2024/9/20,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14909706,2024年秋季国际化拔尖创新人才科研训练具体课程清单.xlsx,776
,,,,,
福州大学关于成立思政课教学指导组的通知,质量办,2024/9/20,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14909664,超星尔雅使用手册（学生版）.pdf,4421
,,,,,
关于做好2024-2025学年第二学期排课准备工作的通知,教学运行,2024/9/19,0,0,0
,,,,,
关于举办福州大学第五十四场“教学有道”研讨活动的通知,质量办,2024/9/14,0,0,0
,,,,,
关于每学期开展常态化课程考核教学档案检查的通知,质量办,2024/9/14,0,0,0
,,,,,
关于2024-2025学年第一学期爱课程平台参加通识教育选修课学习的重要提示,计划科,2024/9/13,0,0,0
,,,,,
关于申请试用高等教育出版社“云创”数字教材创作编写平台的通知,教材中心,2024/9/13,0,0,0
,,,,,
关于公布第二十八、二十九期本科生科研训练计划项目结题成绩的通知,实践科,2024/9/11,0,0,0
,,,,,
关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,实践科,2024/9/11,0,0,0
,,,,,
关于2024年中秋节放假课程调整的通知,教学运行,2024/9/11,0,0,0
,,,,,
关于2024-2025学年第一学期重新学习选课、缴费的通知,教学运行,2024/9/9,0,0,0
,,,,,
关于召开2024-2025学年秋季学期期初本科教育教学工作会议的通知,综合科,2024/9/6,0,0,0
,,,,,
关于2024-2025-01体育理论教室安排（2023级）的通知,教学运行,2024/9/6,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14908056,附件1：福州大学本科课程考核教学档案检查要点.docx,272
,,,,,
关于做好2023-2024学年度本科毕业论文（设计）抽检工作的通知,实践科,2024/9/5,0,0,0
,,,,,
关于开展申请类督导听课工作的通知,质量办,2024/9/5,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14907708,数字平台介绍-7.pdf,133
,,,,,
关于2024级新生领取课程教材的通知,教材中心,2024/9/4,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14907355,附件2：福州大学第二十九期本科生科研训练计划项目结题成绩汇总表.doc,1367
,,,,,
关于2024-2025学年第一学期本科生学生证和火车票优惠区间更改的通知,综合科,2024/9/4,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14907032,附件1：福州大学2022年国家、省级大学生创新创业训练计划项目结题成绩汇总表.xls,856
,,,,,
关于召开2024年宁夏大学、银川能源学院本科生赴福州大学访学见面交流会的通知,综合科,2024/9/2,0,0,0
,,,,,
关于公布2024-2025学年第一学期通选课取消开课名单的通知,计划科,2024/9/2,0,0,0
,,,,,
关于做好2024年9月退役复学学生转专业的通知,教学运行,2024/9/2,0,0,0
,,,,,
关于2024级本科生（含访学学生）学生证信息采集的通知,综合科,2024/9/2,0,0,0
,,,,,
