标题,链接
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,https://www.zhihu.com/question/26742539/answer/537971734
室友想抄我的代码，给还是不给?,https://www.zhihu.com/question/328444462/answer/1194782618
有哪些让你目瞪口呆的 Bug ？,https://www.zhihu.com/question/21747929/answer/2912884840
现实中程序员是怎样飞快敲代码的？,https://www.zhihu.com/question/344204034/answer/1265903434
你的编程能力从什么时候开始突飞猛进？,https://www.zhihu.com/question/356351510/answer/913928066
有哪些顶级水平的中国程序员？,https://www.zhihu.com/question/27462559/answer/106482044
被公司卸磨杀驴能把代码删除吗？,https://www.zhihu.com/question/572065489/answer/2800508924
Bug是如何产生的？,https://www.zhihu.com/question/365343579/answer/967299388
将 bug 译作「蚆蛒」，将 debug 译作「揥蚆蛒」，音译兼意译，是不是很巧妙？,https://www.zhihu.com/question/617695917/answer/3169859772
编程路上那些让我效率暴增的学习方法！,https://zhuanlan.zhihu.com/p/34418394
王小波的计算机水平有多好？,https://www.zhihu.com/question/20964366/answer/95202867
怎样评价《数码宝贝》第一部中的泉光子郎的编程水平？,https://www.zhihu.com/question/30290082/answer/840708044
为什么祖传代码被称为「屎山」？,https://www.zhihu.com/question/272065178/answer/568282019
学 Python 都用来干嘛的？,https://www.zhihu.com/question/34098079/answer/881335591
既然有些人喜欢开挂，为啥不开发一款网游，提供编程接口，允许玩家自行用各种软件，同时允许计算机参与计算？,https://www.zhihu.com/question/320155407/answer/661922741
程序员必须掌握哪些算法？,https://www.zhihu.com/question/23148377/answer/907915556
编程入门指南 v2.0,https://zhuanlan.zhihu.com/p/19959253
为什么美国程序员工作比中国程序员工作轻松、加班少？,https://www.zhihu.com/question/53613628/answer/1247519647
学会了 C 语言真的可以开发出很多东西吗？,https://www.zhihu.com/question/23844552/answer/25880226
面试被问到不懂的东西，是直接说不懂还是坚持狡辩一下？,https://www.zhihu.com/question/537844401/answer/2954691679
一行代码可以做什么？,https://www.zhihu.com/question/285586045/answer/449795157
大一一个学期学多少编程算正常?,https://www.zhihu.com/question/360729923/answer/935715429
为什么不能有把中文想法直接转换成电脑程序的编程呢？,https://www.zhihu.com/question/429150333/answer/1568405390
打字速度对编程的影响大吗？,https://www.zhihu.com/question/30325795/answer/433183682
如何系统地自学 Python？,https://www.zhihu.com/question/29138020/answer/778840509
