日期,时间,平均温度(2 米),最高温度(2 米),最低温度(2 米),日照时长,降水量,温度(2 米),相对湿度(2 米),体感温度,降水(雨 + 雪),天气代码,总云量,风速(10 米),风向(10 米),短波太阳辐射 GHI(即时),是否白天
2024/1/1,0:00,10.3,15.3,5.4,34956.35,0,9.9,74,8.2,0,0,8,4,85,138.8,Yes
,1:00,,,,,,11.5,67,9.5,0,0,7,6.3,77,320.2,Yes
,2:00,,,,,,12.7,62,10.7,0,0,11,6.1,87,474.2,Yes
,3:00,,,,,,13.9,57,11.7,0,0,9,7.6,93,592.8,Yes
,4:00,,,,,,15,53,13,0,0,13,9.4,97,645.1,Yes
,5:00,,,,,,15.3,51,12.7,0,0,12,12,99,602.8,Yes
,6:00,,,,,,15.2,49,12.1,0,0,15,13.2,101,535.5,Yes
,7:00,,,,,,14.5,50,11.3,0,0,4,12.8,100,384.7,Yes
,8:00,,,,,,13.4,55,10.5,0,0,0,11.4,103,218.4,Yes
,9:00,,,,,,12,64,9.6,0,0,0,8.6,105,42.8,Yes
,10:00,,,,,,10.2,76,8.6,0,0,0,4.6,108,0,No
,11:00,,,,,,9.3,80,7.6,0,0,0,5.5,101,0,No
,12:00,,,,,,10.4,73,9,0,0,2,2.8,50,0,No
,13:00,,,,,,11,73,9.8,0,0,2,2.1,31,0,No
,14:00,,,,,,10.6,76,9.4,0,0,3,2.4,27,0,No
,15:00,,,,,,10.1,81,9,0,0,4,2.2,9,0,No
,16:00,,,,,,9.2,88,8.2,0,0,11,2.6,344,0,No
,17:00,,,,,,7.5,99,6.3,0,0,17,4.1,322,0,No
,18:00,,,,,,6.4,100,4.6,0,3,97,6.4,317,0,No
,19:00,,,,,,5.7,100,3.6,0,1,21,7.1,311,0,No
,20:00,,,,,,5.4,99,3.2,0,0,15,6.9,309,0,No
,21:00,,,,,,5.4,95,3.1,0,0,6,6.9,309,0,No
,22:00,,,,,,6.7,93,4.7,0,0,2,6.3,301,0,No
,23:00,,,,,,5.9,94,3.6,0,0,1,7.2,297,0,Yes
2024/1/2,0:00,14,18.9,9,34982.11,0.9,9,85,7.4,0,0,1,5.3,298,139.4,Yes
,1:00,,,,,,11.3,74,9.8,0,0,14,4.6,309,305.2,Yes
,2:00,,,,,,14,63,12.9,0,0,0,3.1,315,479,Yes
,3:00,,,,,,15.9,58,15.2,0,0,0,1.5,45,600.5,Yes
,4:00,,,,,,17.3,55,17.1,0,0,0,2.4,117,650.4,Yes
,5:00,,,,,,18.4,53,18,0,0,0,4.4,125,629.4,Yes
,6:00,,,,,,18.9,52,17.8,0,0,0,6.7,126,541.4,Yes
,7:00,,,,,,18.8,52,17.2,0,0,0,9,127,398.9,Yes
,8:00,,,,,,18.2,55,16.4,0,0,5,10.3,126,221.2,Yes
,9:00,,,,,,16.4,62,15.1,0,0,12,7.4,137,44.2,Yes
,10:00,,,,,,13.9,74,12.9,0,3,96,6.2,144,0,No
,11:00,,,,,,14.4,72,13.7,0,3,100,4,185,0,No
,12:00,,,,,,13.2,81,12.5,0,3,83,4.6,225,0,No
,13:00,,,,,,13.2,89,13.2,0.9,53,88,3.1,249,0,No
,14:00,,,,,,13.2,87,13.2,0,2,78,2.6,196,0,No
,15:00,,,,,,13.7,82,13.6,0,3,100,2.2,180,0,No
,16:00,,,,,,13.8,82,14,0,3,100,0.7,180,0,No
,17:00,,,,,,13,90,13.1,0,0,9,2.2,180,0,No
,18:00,,,,,,13.1,87,12.9,0,1,26,3.4,238,0,No
,19:00,,,,,,13,87,12.8,0,1,45,4,265,0,No
,20:00,,,,,,11.3,91,10.3,0,1,31,7,282,0,No
,21:00,,,,,,11.2,85,9.9,0,0,1,6.7,286,0,No
,22:00,,,,,,10.7,83,8.9,0,0,5,8.8,289,0,No
,23:00,,,,,,9.9,86,8,0,1,24,8.4,290,0,Yes
2024/1/3,0:00,12.2,19.3,4.4,34464.38,0,10.9,80,8.8,0,0,14,10.6,288,107.2,Yes
,1:00,,,,,,13.3,71,11.3,0,0,18,10.7,290,260.9,Yes
,2:00,,,,,,14.4,67,12.2,0,0,9,12.1,297,410.9,Yes
,3:00,,,,,,15.1,63,12.6,0,1,28,13.7,300,523.8,Yes
,4:00,,,,,,16.2,58,13.8,0,1,49,14.2,300,599.6,Yes
