通知人,附件名,下载次数
质量办,2025年福州大学新上岗教师达标培训班名单（配导师）.xlsx,536
计划科,超星尔雅使用手册（学生版）.pdf,3009
计划科,2025年秋季国际化拔尖创新人才科研训练具体课程清单.xlsx,1208
质量办,附件1-5.zip,203
教学运行,福州大学本科生转专业管理实施办法.docx,268
教学运行,福州大学参军退伍复学后学生转专业审批表.doc,158
质量办,附件：2025年秋季学期申请类督导听课汇总表.docx,86
质量办,附件3 工程教育认证申请书（2025版）修订说明.pdf,440
质量办,附件2 工程教育认证申请书（2025版）.docx,118
质量办,附件1 2025年接受认证申请的专业领域及专业一览表.pdf,449
质量办,附件1：福州大学课堂教学质量评估表.doc,103
质量办,附件2：福州大学课堂教学质量评估表（思政课）.docx,95
质量办,附件3：202501第一周课表.xlsx,165
质量办,附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,69
计划科,2025-2026学年第一学期国情课列表.docx,565
计划科,港澳台侨学生思政课和军事课程退选申请表.docx,604
计划科,超星尔雅使用手册（学生版）.pdf,1100
计划科,慕课堂学生操作手册.pdf,776
计划科,智慧树学生手册2025.pptx,1101
教研教改,附件1：福州大学2025级“数理综合班”招生简章.doc,1731
教研教改,附件2：承诺书.doc,426
教研教改,附件2：福州大学2025级“数智实验班”选拔方案.docx,1532
教研教改,附件1：福州大学2025级“数智实验班”招生简章.docx,1547
教研教改,附件3：承诺书.docx,327
教研教改,附件1：福州大学2025级“嘉锡化学拔尖班”招生简章.doc,677
教研教改,附件2：福州大学2025级“嘉锡化学拔尖班”选拔方案.doc,446
教研教改,附件2：福州大学2025级“数理金融实验班”选拔方案.doc,701
教研教改,附件1：福州大学2025级“数理金融实验班”招生简章.doc,881
教研教改,附件3：2025级数理金融实验班申请表.doc,329
教研教改,附件4：承诺书.doc,220
综合科,附件：2024年度福州大学非学历教育数据采集表-模板.xlsx,145
综合科,教育部高等教育司关于开展人工智能综合能力提升培训工作的通知（6月30日前）.pdf,384
综合科,（学院名称）——参加教育部人工智能综合能力提升培训工作情况 .xls,233
教学运行,2402高数数学A中、B下、C下期末考-7.4上、下午.xlsx,332
教学运行,2402大学物理A（上）、B（上）、C期末考-7.3上、下午.xlsx,179
教学运行,2402大学英语三期末考-6.29上、下午.xlsx,306
教学运行,2402专题英语期末考-6.28上、下午.xlsx,207
教学运行,2402大学英语四期末考-6.20上午.xlsx,207
教学运行,2402大学英语二期末考-6.28下午.xlsx,230
教材中心,附件1.教育部办公厅关于组织申报2025年度教育部大中小学课程教材研究项目的通知.pdf,486
教材中心,附件2.教育部大中小学课程教材研究项目2025年度重大项目和重点项目选题指南.docx,183
教材中心,附件3.教育部大中小学课程教材研究项目2025年度申报书.docx,148
教材中心,附件4.2025年度教育部大中小学课程教材研究项目推荐汇总表.xlsx,125
教学运行,2402德法随堂考.xlsx,224
教学运行,2402马原随堂考.xlsx,285
教学运行,2402毛概随堂考.xlsx,243
教学运行,2402概率-6.8下午.xlsx,217
教学运行,2402工程制图C（下）、D、F期末考-6.8上午.xlsx,271
教学运行,2402史纲随堂考.xlsx,433
教学运行,2402习概随堂考.xlsx,301
教学运行,2402计算机语言类期末考-5.24.xlsx,532
教学运行,2402线性代数、线性代数与解析几何期末考-5.25下午.xlsx,317
质量办,附件1-7.docx,497
教学通知,关于开展2025年度教师本科教学综合测评工作的通知.doc,509
质量办,附件1：福州大学课堂教学质量评估表.doc,188
质量办,附件2：第10-12周课表.xlsx,422
教学运行,2402工程制图E期末考-5.18上午.xlsx,251
教学运行,2402高数半期考-5.11下午.xlsx,532
实践科,附件.zip,388
教学运行,2402线代半期考-4.26晚上.xlsx,297
教学运行,附件3：获得图像采集码途径.pdf,559
教学运行,附件1：行政北楼平面图.pdf,513
教学运行,附件2：证件照拍摄要求.pdf,2210
质量办,附件.rar,399
质量办,附件2：2024年新上岗教师课堂授课达标考核情况汇总表---需一式三份报教评中心.docx,305
质量办,附件1：2024年福州大学新上岗教师达标培训班名单.xlsx,401
实践科,附件1：福州大学大学生校外实践教学基地检查评估汇总表.xlsx,373
实践科,附件2：福州大学大学生校外实践教学基地检查评估表.xlsx,408
教学运行,2402大物A上、B上半期考-4.13下午.xlsx,588
教学运行,2402概率论半期考-4.13下午.xlsx,402
