时间,温度(2m)(°C),相对湿度(2m)(%),风速(10m)(m/s),体感温度(°C),降水量(mm),天气代码,云量(%),风速(10m)(m/s),风向(10m)(°),短波辐射(W/m²),白天/夜晚
2024-01-01T00:00,13.4,72,8.1,11.8,0.0,3,100,8.1,58,0.0,夜晚
2024-01-01T01:00,12.8,72,7.0,11.2,0.0,3,93,7.0,55,0.0,夜晚
2024-01-01T02:00,12.3,69,5.7,10.6,0.0,3,100,5.7,55,0.0,夜晚
2024-01-01T03:00,11.2,70,4.1,9.7,0.0,3,100,4.1,52,0.0,夜晚
2024-01-01T04:00,10.7,72,3.6,9.1,0.0,2,65,3.6,53,0.0,夜晚
2024-01-01T05:00,9.3,79,5.5,7.5,0.0,0,5,5.5,67,0.0,夜晚
2024-01-01T06:00,9.3,76,4.8,7.5,0.0,0,2,4.8,77,0.0,夜晚
2024-01-01T07:00,9.3,76,4.4,7.6,0.0,0,6,4.4,81,0.0,白天
2024-01-01T08:00,9.9,74,4.0,8.2,0.0,0,8,4.0,85,138.8,白天
2024-01-01T09:00,11.5,67,6.3,9.5,0.0,0,7,6.3,77,320.2,白天
2024-01-01T10:00,12.7,62,6.1,10.7,0.0,0,11,6.1,87,474.2,白天
2024-01-01T11:00,13.9,57,7.6,11.7,0.0,0,9,7.6,93,592.8,白天
2024-01-01T12:00,15.0,53,9.4,13.0,0.0,0,13,9.4,97,645.1,白天
2024-01-01T13:00,15.3,51,12.0,12.7,0.0,0,12,12.0,99,602.8,白天
2024-01-01T14:00,15.2,49,13.2,12.1,0.0,0,15,13.2,101,535.5,白天
2024-01-01T15:00,14.5,50,12.8,11.3,0.0,0,4,12.8,100,384.7,白天
2024-01-01T16:00,13.4,55,11.4,10.5,0.0,0,0,11.4,103,218.4,白天
2024-01-01T17:00,12.0,64,8.6,9.6,0.0,0,0,8.6,105,42.8,白天
2024-01-01T18:00,10.2,76,4.6,8.6,0.0,0,0,4.6,108,0.0,夜晚
2024-01-01T19:00,9.3,80,5.5,7.6,0.0,0,0,5.5,101,0.0,夜晚
2024-01-01T20:00,10.4,73,2.8,9.0,0.0,0,2,2.8,50,0.0,夜晚
2024-01-01T21:00,11.0,73,2.1,9.8,0.0,0,2,2.1,31,0.0,夜晚
2024-01-01T22:00,10.6,76,2.4,9.4,0.0,0,3,2.4,27,0.0,夜晚
2024-01-01T23:00,10.1,81,2.2,9.0,0.0,0,4,2.2,9,0.0,夜晚
2024-01-02T00:00,9.2,88,2.6,8.2,0.0,0,11,2.6,344,0.0,夜晚
2024-01-02T01:00,7.5,99,4.1,6.3,0.0,0,17,4.1,322,0.0,夜晚
2024-01-02T02:00,6.4,100,6.4,4.6,0.0,3,97,6.4,317,0.0,夜晚
2024-01-02T03:00,5.7,100,7.1,3.6,0.0,1,21,7.1,311,0.0,夜晚
2024-01-02T04:00,5.4,99,6.9,3.2,0.0,0,15,6.9,309,0.0,夜晚
2024-01-02T05:00,5.4,95,6.9,3.1,0.0,0,6,6.9,309,0.0,夜晚
2024-01-02T06:00,6.7,93,6.3,4.7,0.0,0,2,6.3,301,0.0,夜晚
2024-01-02T07:00,5.9,94,7.2,3.6,0.0,0,1,7.2,297,0.0,白天
2024-01-02T08:00,9.0,85,5.3,7.4,0.0,0,1,5.3,298,139.4,白天
2024-01-02T09:00,11.3,74,4.6,9.8,0.0,0,14,4.6,309,305.2,白天
2024-01-02T10:00,14.0,63,3.1,12.9,0.0,0,0,3.1,315,479.0,白天
2024-01-02T11:00,15.9,58,1.5,15.2,0.0,0,0,1.5,45,600.5,白天
2024-01-02T12:00,17.3,55,2.4,17.1,0.0,0,0,2.4,117,650.4,白天
2024-01-02T13:00,18.4,53,4.4,18.0,0.0,0,0,4.4,125,629.4,白天
2024-01-02T14:00,18.9,52,6.7,17.8,0.0,0,0,6.7,126,541.4,白天
2024-01-02T15:00,18.8,52,9.0,17.2,0.0,0,0,9.0,127,398.9,白天
2024-01-02T16:00,18.2,55,10.3,16.4,0.0,0,5,10.3,126,221.2,白天
2024-01-02T17:00,16.4,62,7.4,15.1,0.0,0,12,7.4,137,44.2,白天
2024-01-02T18:00,13.9,74,6.2,12.9,0.0,3,96,6.2,144,0.0,夜晚
2024-01-02T19:00,14.4,72,4.0,13.7,0.0,3,100,4.0,185,0.0,夜晚
2024-01-02T20:00,13.2,81,4.6,12.5,0.0,3,83,4.6,225,0.0,夜晚
2024-01-02T21:00,13.2,89,3.1,13.2,0.9,53,88,3.1,249,0.0,夜晚
2024-01-02T22:00,13.2,87,2.6,13.2,0.0,2,78,2.6,196,0.0,夜晚
2024-01-02T23:00,13.7,82,2.2,13.6,0.0,3,100,2.2,180,0.0,夜晚
2024-01-03T00:00,13.8,82,0.7,14.0,0.0,3,100,0.7,180,0.0,夜晚
2024-01-03T01:00,13.0,90,2.2,13.1,0.0,0,9,2.2,180,0.0,夜晚
2024-01-03T02:00,13.1,87,3.4,12.9,0.0,1,26,3.4,238,0.0,夜晚
2024-01-03T03:00,13.0,87,4.0,12.8,0.0,1,45,4.0,265,0.0,夜晚
2024-01-03T04:00,11.3,91,7.0,10.3,0.0,1,31,7.0,282,0.0,夜晚
2024-01-03T05:00,11.2,85,6.7,9.9,0.0,0,1,6.7,286,0.0,夜晚
2024-01-03T06:00,10.7,83,8.8,8.9,0.0,0,5,8.8,289,0.0,夜晚
2024-01-03T07:00,9.9,86,8.4,8.0,0.0,1,24,8.4,290,0.0,白天
2024-01-03T08:00,10.9,80,10.6,8.8,0.0,0,14,10.6,288,107.2,白天
2024-01-03T09:00,13.3,71,10.7,11.3,0.0,0,18,10.7,290,260.9,白天
2024-01-03T10:00,14.4,67,12.1,12.2,0.0,0,9,12.1,297,410.9,白天
