日期,每日最高温度-2m,每日平均温度-2m,每日最低温度-2m,每日总降水量,每日光照时长
2024-01-01 08:00:00,14.6,11.1,6.6,0.0,34630.96
2024-01-02 08:00:00,18.3,14.4,7.9,0.5,34995.13
2024-01-03 08:00:00,17.6,13.3,8.5,0.0,34469.84
2024-01-04 08:00:00,15.5,11.0,7.1,0.0,35053.06
2024-01-05 08:00:00,20.3,13.3,8.0,0.0,33472.21
2024-01-06 08:00:00,21.2,15.1,9.5,0.0,34369.16
2024-01-07 08:00:00,16.3,12.7,9.9,0.1,32400.0
2024-01-08 08:00:00,13.7,12.1,10.5,4.0,2767.75
2024-01-09 08:00:00,17.5,14.5,11.5,0.9,5466.13
2024-01-10 08:00:00,18.2,13.5,9.6,0.0,33168.31
2024-01-11 08:00:00,15.6,10.8,6.0,0.0,34797.98
2024-01-12 08:00:00,19.3,12.3,7.0,0.0,34054.05
2024-01-13 08:00:00,20.8,14.0,8.6,0.0,34495.76
2024-01-14 08:00:00,22.6,16.0,10.8,0.0,32599.57
2024-01-15 08:00:00,16.9,13.3,10.3,0.0,34089.47
2024-01-16 08:00:00,15.9,12.5,10.5,0.0,33479.44
2024-01-17 08:00:00,21.5,15.5,11.6,0.0,32560.46
2024-01-18 08:00:00,24.1,18.2,13.3,0.0,32400.0
2024-01-19 08:00:00,20.2,16.4,14.5,0.0,26321.09
2024-01-20 08:00:00,20.5,16.0,12.8,0.0,26542.25
2024-01-21 08:00:00,13.0,11.6,10.2,0.0,0.0
2024-01-22 08:00:00,10.2,6.6,4.1,18.4,0.0
2024-01-23 08:00:00,7.7,5.5,2.6,0.0,830.5
2024-01-24 08:00:00,9.7,6.8,3.0,0.1,30570.02
2024-01-25 08:00:00,10.9,7.9,4.9,0.0,28114.02
2024-01-26 08:00:00,11.9,9.8,6.9,0.5,23269.74
2024-01-27 08:00:00,12.2,9.6,8.5,0.3,12428.05
2024-01-28 08:00:00,14.2,10.7,8.9,0.4,14364.59
2024-01-29 08:00:00,13.8,11.5,9.9,2.1,2701.64
2024-01-30 08:00:00,18.8,14.6,11.7,0.0,29229.33
2024-01-31 08:00:00,23.5,17.3,13.6,0.3,31468.82
2024-02-01 08:00:00,25.5,18.6,13.4,0.3,22550.29
2024-02-02 08:00:00,13.3,12.5,12.1,0.0,0.0
2024-02-03 08:00:00,18.9,14.8,12.8,0.1,23926.68
2024-02-04 08:00:00,13.4,12.8,12.2,4.0,0.0
2024-02-05 08:00:00,17.1,12.8,10.2,0.0,21235.45
2024-02-06 08:00:00,10.9,9.6,8.6,6.9,0.0
2024-02-07 08:00:00,9.3,8.5,7.7,23.8,0.0
2024-02-08 08:00:00,9.1,8.4,7.8,4.1,0.0
2024-02-09 08:00:00,12.1,9.4,5.3,0.0,16783.41
2024-02-10 08:00:00,16.1,10.3,4.4,0.0,36282.7
2024-02-11 08:00:00,19.1,12.0,5.7,0.0,36672.81
2024-02-12 08:00:00,18.5,12.9,7.1,0.0,36483.46
2024-02-13 08:00:00,22.1,15.3,10.2,0.0,36288.61
2024-02-14 08:00:00,25.2,17.5,12.5,0.0,36812.84
2024-02-15 08:00:00,27.1,17.5,10.5,0.7,32405.04
2024-02-16 08:00:00,11.5,10.9,10.3,0.0,0.0
2024-02-17 08:00:00,21.1,14.8,11.1,0.0,34409.04
2024-02-18 08:00:00,26.5,19.3,12.1,0.0,36000.0
2024-02-19 08:00:00,27.8,21.0,15.6,0.0,15709.29
2024-02-20 08:00:00,29.2,21.6,16.9,0.0,37104.41
2024-02-21 08:00:00,29.6,21.7,13.4,0.0,35790.66
2024-02-22 08:00:00,13.6,12.0,10.5,0.0,0.0
2024-02-23 08:00:00,11.6,10.5,9.6,1.1,0.0
2024-02-24 08:00:00,12.9,11.5,10.1,0.6,1534.24
2024-02-25 08:00:00,13.1,10.7,9.2,0.2,194.99
2024-02-26 08:00:00,9.4,9.0,8.5,0.5,0.0
2024-02-27 08:00:00,11.6,10.3,9.4,0.4,140.46
2024-02-28 08:00:00,13.9,12.2,9.8,0.0,1308.34
2024-02-29 08:00:00,17.8,14.1,11.5,11.5,16871.55
2024-03-01 08:00:00,11.3,9.1,7.2,2.7,0.0
2024-03-02 08:00:00,11.4,8.3,4.7,0.0,23272.15
2024-03-03 08:00:00,15.7,12.1,6.7,0.1,36000.0
2024-03-04 08:00:00,20.1,15.6,12.0,0.6,21101.01
2024-03-05 08:00:00,28.6,21.4,15.6,0.0,36078.54
2024-03-06 08:00:00,16.4,13.6,11.4,1.4,1858.72
2024-03-07 08:00:00,14.0,12.0,10.2,0.0,0.0
2024-03-08 08:00:00,16.3,12.5,9.5,0.0,37336.29
2024-03-09 08:00:00,12.1,11.0,9.7,0.9,2647.68
2024-03-10 08:00:00,16.3,13.1,10.6,4.1,21404.39
2024-03-11 08:00:00,16.4,13.4,9.5,9.2,293.01
2024-03-12 08:00:00,22.9,16.4,11.1,0.0,36000.0
2024-03-13 08:00:00,17.1,14.3,12.2,0.0,26265.08
2024-03-14 08:00:00,15.2,14.2,12.8,8.9,0.0
2024-03-15 08:00:00,17.1,15.3,14.2,10.0,1562.58
2024-03-16 08:00:00,17.9,16.3,15.1,6.3,0.0
2024-03-17 08:00:00,26.3,18.7,13.7,0.1,35375.63
2024-03-18 08:00:00,16.6,13.5,11.5,0.0,24680.95
2024-03-19 08:00:00,19.1,13.9,10.4,0.0,27465.69
2024-03-20 08:00:00,18.1,13.6,8.7,0.0,40295.05
2024-03-21 08:00:00,19.3,16.0,11.6,0.0,29154.95
2024-03-22 08:00:00,24.8,20.3,15.1,0.0,26340.47
2024-03-23 08:00:00,27.5,22.1,17.9,0.0,27702.93
2024-03-24 08:00:00,32.1,25.0,19.4,0.0,40423.65
2024-03-25 08:00:00,32.5,26.1,20.7,0.0,39682.05
2024-03-26 08:00:00,22.0,17.4,14.9,0.0,36501.57
2024-03-27 08:00:00,20.5,16.9,14.5,0.0,38327.23
2024-03-28 08:00:00,28.5,22.0,16.8,0.0,34540.7
2024-03-29 08:00:00,27.1,21.4,18.0,0.7,35281.68
2024-03-30 08:00:00,29.8,23.3,19.5,2.6,25150.09
2024-03-31 08:00:00,29.5,24.6,19.8,0.5,15495.5
2024-04-01 08:00:00,24.4,20.8,18.9,0.0,23872.36
2024-04-02 08:00:00,30.4,25.4,20.4,0.0,41082.34
2024-04-03 08:00:00,32.1,26.3,19.7,0.8,31016.88
2024-04-04 08:00:00,19.3,16.9,15.3,22.9,0.0
2024-04-05 08:00:00,16.5,15.3,14.6,21.6,0.0
2024-04-06 08:00:00,19.0,16.9,16.0,14.1,3783.12
2024-04-07 08:00:00,18.0,16.9,16.2,18.3,103.27
2024-04-08 08:00:00,21.6,18.7,16.6,1.5,8673.62
2024-04-09 08:00:00,19.0,17.1,14.4,0.1,7035.57
2024-04-10 08:00:00,22.4,18.9,15.9,0.0,40252.35
2024-04-11 08:00:00,27.4,21.8,18.6,0.0,38844.26
2024-04-12 08:00:00,28.9,23.5,19.7,0.6,23806.2
2024-04-13 08:00:00,24.2,21.7,20.4,0.0,13725.55
2024-04-14 08:00:00,30.5,24.8,21.1,0.0,39751.79
2024-04-15 08:00:00,34.2,26.8,22.4,3.7,36000.0
2024-04-16 08:00:00,29.0,24.5,21.9,2.6,26127.85
2024-04-17 08:00:00,30.4,25.8,21.0,0.2,31936.49
2024-04-18 08:00:00,22.3,20.4,18.6,0.7,23366.71
2024-04-19 08:00:00,23.3,20.7,19.1,0.0,24955.96
2024-04-20 08:00:00,29.9,24.8,21.2,0.1,22882.33
2024-04-21 08:00:00,32.1,24.6,19.9,3.5,26849.7
2024-04-22 08:00:00,26.5,22.5,19.8,6.1,12892.63
2024-04-23 08:00:00,26.2,23.2,20.9,3.3,9592.75
2024-04-24 08:00:00,23.3,21.0,18.9,0.4,8597.48
2024-04-25 08:00:00,22.0,19.6,18.7,4.9,2745.09
2024-04-26 08:00:00,24.6,21.9,19.7,0.2,13084.75
2024-04-27 08:00:00,27.1,22.9,21.1,0.5,28339.96
2024-04-28 08:00:00,28.4,23.7,21.0,5.7,20250.1
2024-04-29 08:00:00,34.9,27.8,23.4,3.5,30563.93
2024-04-30 08:00:00,28.7,23.3,19.6,21.7,2312.62
2024-05-01 08:00:00,20.0,18.6,17.4,11.0,221.62
2024-05-02 08:00:00,22.2,18.9,16.0,1.3,26256.66
2024-05-03 08:00:00,24.1,20.2,16.4,0.3,26793.91
2024-05-04 08:00:00,25.4,22.2,20.1,0.2,22014.42
2024-05-05 08:00:00,30.7,25.2,21.0,0.1,40356.92
2024-05-06 08:00:00,32.3,25.6,21.6,0.0,39600.0
2024-05-07 08:00:00,27.7,23.7,21.1,0.0,21105.3
2024-05-08 08:00:00,27.6,23.3,19.2,0.0,40021.8
2024-05-09 08:00:00,24.8,20.9,18.3,0.0,33097.05
2024-05-10 08:00:00,26.1,22.7,20.2,0.0,37653.55
2024-05-11 08:00:00,30.2,24.9,22.0,0.0,24524.36
2024-05-12 08:00:00,29.9,23.4,16.8,19.2,2580.65
2024-05-13 08:00:00,20.9,17.8,13.2,0.0,4904.95
2024-05-14 08:00:00,25.7,19.7,13.0,0.0,43388.21
2024-05-15 08:00:00,29.1,23.0,18.4,0.0,39297.94
2024-05-16 08:00:00,24.9,19.8,13.6,0.0,42103.83
2024-05-17 08:00:00,28.7,22.9,18.6,0.0,43200.0
2024-05-18 08:00:00,29.8,25.2,22.8,0.0,41550.82
2024-05-19 08:00:00,28.3,24.4,21.2,4.4,29905.57
2024-05-20 08:00:00,22.6,21.9,21.3,46.5,0.0
2024-05-21 08:00:00,22.5,22.2,21.9,27.7,0.0
2024-05-22 08:00:00,22.8,22.0,21.0,23.3,0.0
2024-05-23 08:00:00,24.1,22.5,21.7,8.0,0.0
2024-05-24 08:00:00,28.1,24.4,22.5,1.2,1442.2
2024-05-25 08:00:00,27.9,24.9,22.7,2.4,9192.69
2024-05-26 08:00:00,30.8,26.9,23.5,0.8,39603.98
2024-05-27 08:00:00,28.1,25.9,22.8,4.6,0.0
2024-05-28 08:00:00,23.4,21.8,18.8,0.0,6130.48
2024-05-29 08:00:00,26.8,22.7,19.6,0.0,43614.38
2024-05-30 08:00:00,25.0,23.8,21.8,0.0,8065.04
2024-05-31 08:00:00,32.7,27.5,23.4,5.9,27485.66
2024-06-01 08:00:00,23.1,21.8,20.1,16.1,0.0
