time,temperature_2m_max,temperature_2m_mean,temperature_2m_min,precipitation_sum,sunshine_duration
2024-01-01,14.6°C,11.1°C,6.6°C,0.0mm,34630.96s
2024-01-02,18.3°C,14.4°C,7.9°C,0.5mm,34995.13s
2024-01-03,17.6°C,13.3°C,8.5°C,0.0mm,34469.84s
2024-01-04,15.5°C,11.0°C,7.1°C,0.0mm,35053.06s
2024-01-05,20.3°C,13.3°C,8.0°C,0.0mm,33472.21s
2024-01-06,21.2°C,15.1°C,9.5°C,0.0mm,34369.16s
2024-01-07,16.3°C,12.7°C,9.9°C,0.1mm,32400.0s
2024-01-08,13.7°C,12.1°C,10.5°C,4.0mm,2767.75s
2024-01-09,17.5°C,14.5°C,11.5°C,0.9mm,5466.13s
2024-01-10,18.2°C,13.5°C,9.6°C,0.0mm,33168.31s
2024-01-11,15.6°C,10.8°C,6.0°C,0.0mm,34797.98s
2024-01-12,19.3°C,12.3°C,7.0°C,0.0mm,34054.05s
2024-01-13,20.8°C,14.0°C,8.6°C,0.0mm,34495.76s
2024-01-14,22.6°C,16.0°C,10.8°C,0.0mm,32599.57s
2024-01-15,16.9°C,13.3°C,10.3°C,0.0mm,34089.47s
2024-01-16,15.9°C,12.5°C,10.5°C,0.0mm,33479.44s
2024-01-17,21.5°C,15.5°C,11.6°C,0.0mm,32560.46s
2024-01-18,24.1°C,18.2°C,13.3°C,0.0mm,32400.0s
2024-01-19,20.2°C,16.4°C,14.5°C,0.0mm,26321.09s
2024-01-20,20.5°C,16.0°C,12.8°C,0.0mm,26542.25s
2024-01-21,13.0°C,11.6°C,10.2°C,0.0mm,0.0s
2024-01-22,10.2°C,6.6°C,4.1°C,18.4mm,0.0s
2024-01-23,7.7°C,5.5°C,2.6°C,0.0mm,830.5s
2024-01-24,9.7°C,6.8°C,3.0°C,0.1mm,30570.02s
2024-01-25,10.9°C,7.9°C,4.9°C,0.0mm,28114.02s
2024-01-26,11.9°C,9.8°C,6.9°C,0.5mm,23269.74s
2024-01-27,12.2°C,9.6°C,8.5°C,0.3mm,12428.05s
2024-01-28,14.2°C,10.7°C,8.9°C,0.4mm,14364.59s
2024-01-29,13.8°C,11.5°C,9.9°C,2.1mm,2701.64s
2024-01-30,18.8°C,14.6°C,11.7°C,0.0mm,29229.33s
2024-01-31,23.5°C,17.3°C,13.6°C,0.3mm,31468.82s
2024-02-01,25.5°C,18.6°C,13.4°C,0.3mm,22550.29s
2024-02-02,13.3°C,12.5°C,12.1°C,0.0mm,0.0s
2024-02-03,18.9°C,14.8°C,12.8°C,0.1mm,23926.68s
2024-02-04,13.4°C,12.8°C,12.2°C,4.0mm,0.0s
2024-02-05,17.1°C,12.8°C,10.2°C,0.0mm,21235.45s
2024-02-06,10.9°C,9.6°C,8.6°C,6.9mm,0.0s
2024-02-07,9.3°C,8.5°C,7.7°C,23.8mm,0.0s
2024-02-08,9.1°C,8.4°C,7.8°C,4.1mm,0.0s
