date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,cloud_cover,weather_code,wind_speed_10m,wind_direction_10m,shortwave_radiation_instant,is_day
2024-01-01T00:00,11.0°C,68%,9.5°C,0.0mm,35%,1,2.6km/h,74°,136.8W/m²,1
2024-01-01T01:00,11.8°C,63%,9.8°C,0.0mm,40%,2,5.6km/h,63°,265.5W/m²,1
2024-01-01T02:00,13.1°C,57%,10.3°C,0.0mm,46%,2,10.2km/h,58°,400.2W/m²,1
2024-01-01T03:00,14.1°C,53%,10.8°C,0.0mm,51%,2,13.6km/h,58°,509.5W/m²,1
2024-01-01T04:00,14.5°C,51%,10.9°C,0.0mm,49%,2,15.5km/h,62°,566.6W/m²,1
2024-01-01T05:00,14.5°C,51%,11.0°C,0.0mm,46%,2,16.2km/h,69°,567.7W/m²,1
2024-01-01T06:00,14.6°C,51%,10.8°C,0.0mm,44%,2,17.0km/h,73°,509.5W/m²,1
2024-01-01T07:00,14.0°C,55%,10.8°C,0.0mm,24%,1,13.5km/h,81°,380.4W/m²,1
2024-01-01T08:00,13.2°C,56%,10.2°C,0.0mm,17%,1,11.9km/h,90°,232.7W/m²,1
2024-01-01T09:00,12.5°C,57%,9.7°C,0.0mm,9%,1,9.5km/h,99°,52.6W/m²,1
2024-01-01T10:00,11.7°C,59%,9.4°C,0.0mm,6%,0,6.0km/h,107°,0.0W/m²,0
2024-01-01T11:00,11.5°C,61%,9.6°C,0.0mm,0%,0,3.6km/h,143°,0.0W/m²,0
2024-01-01T12:00,11.6°C,63%,10.0°C,0.0mm,0%,0,2.3km/h,129°,0.0W/m²,0
2024-01-01T13:00,11.3°C,65%,9.9°C,0.0mm,0%,0,1.1km/h,162°,0.0W/m²,0
2024-01-01T14:00,11.2°C,64%,9.8°C,0.0mm,26%,1,0.8km/h,243°,0.0W/m²,0
2024-01-01T15:00,10.9°C,66%,9.2°C,0.0mm,6%,0,2.6km/h,286°,0.0W/m²,0
2024-01-01T16:00,10.0°C,72%,8.3°C,0.0mm,0%,0,4.0km/h,275°,0.0W/m²,0
2024-01-01T17:00,9.2°C,79%,7.4°C,0.0mm,0%,0,4.7km/h,266°,0.0W/m²,0
2024-01-01T18:00,8.8°C,80%,7.0°C,0.0mm,0%,0,4.7km/h,270°,0.0W/m²,0
2024-01-01T19:00,8.3°C,82%,6.5°C,0.0mm,0%,0,5.1km/h,262°,0.0W/m²,0
2024-01-01T20:00,7.7°C,85%,5.8°C,0.0mm,0%,0,4.8km/h,257°,0.0W/m²,0
2024-01-01T21:00,7.1°C,88%,5.2°C,0.0mm,0%,0,5.2km/h,254°,0.0W/m²,0
2024-01-01T22:00,6.8°C,90%,4.9°C,0.0mm,0%,0,5.2km/h,254°,0.0W/m²,0
2024-01-01T23:00,6.6°C,90%,4.7°C,0.0mm,0%,0,4.9km/h,253°,6.9W/m²,1
2024-01-02T00:00,7.9°C,87%,6.2°C,0.0mm,0%,0,4.8km/h,257°,139.1W/m²,1
2024-01-02T01:00,11.2°C,68%,9.6°C,0.0mm,0%,0,3.7km/h,281°,315.3W/m²,1
2024-01-02T02:00,13.3°C,56%,11.5°C,0.0mm,0%,0,3.8km/h,311°,477.8W/m²,1
2024-01-02T03:00,15.0°C,53%,13.4°C,0.0mm,0%,0,4.1km/h,345°,596.2W/m²,1
2024-01-02T04:00,16.5°C,51%,15.5°C,0.0mm,0%,0,5.1km/h,8°,653.5W/m²,1
2024-01-02T05:00,17.7°C,50%,16.9°C,0.0mm,29%,1,4.9km/h,36°,631.4W/m²,1
2024-01-02T06:00,18.2°C,50%,16.7°C,0.0mm,0%,0,6.9km/h,81°,537.7W/m²,1
2024-01-02T07:00,18.3°C,51%,16.6°C,0.0mm,0%,0,7.9km/h,90°,392.9W/m²,1
2024-01-02T08:00,17.8°C,53%,16.1°C,0.0mm,0%,0,8.4km/h,97°,213.0W/m²,1
2024-01-02T09:00,16.6°C,59%,14.9°C,0.0mm,46%,2,8.9km/h,104°,40.7W/m²,1
2024-01-02T10:00,15.2°C,65%,13.8°C,0.0mm,96%,3,7.1km/h,105°,0.0W/m²,0
2024-01-02T11:00,14.5°C,69%,13.5°C,0.0mm,100%,3,4.8km/h,103°,0.0W/m²,0
2024-01-02T12:00,14.0°C,72%,13.3°C,0.1mm,97%,3,2.7km/h,67°,0.0W/m²,0
2024-01-02T13:00,13.6°C,75%,13.0°C,0.2mm,99%,80,2.8km/h,50°,0.0W/m²,0
2024-01-02T14:00,13.6°C,76%,13.1°C,0.0mm,98%,3,2.6km/h,326°,0.0W/m²,0
