notifier,title,date,url,attachment_cnt,file_title,download_times,file_url
教学运行,关于公布2025-2026学年各学院转专业实施细则的通知,2025-11-14,https://jwch.fzu.edu.cn/info/1036/14352.htm,1,['2025-2026学年各学院转专业实施细则.pdf'],['1168'],['https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16732856']
教学运行,关于做好2025-2026学年本科生转专业工作的通知,2025-10-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14278,0,['无'],[0],['无']
教学通知,关于做好2025年9月退役复学学生转专业的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1012/14194.htm,2,"['福州大学本科生转专业管理实施办法.docx', '福州大学参军退伍复学后学生转专业审批表.doc']","['214', '146']","['https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630', 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625']"
综合科,关于2025-2026学年第一学期再次开放本科生学生证补办、火车票优惠区间更改及信息采集的通知,2025-11-12,https://jwch.fzu.edu.cn/info/1035/14344.htm,0,['无'],[0],['无']
教材中心,关于做好2025-2026学年第一学期本科课程实施与教材使用监测工作的通知,2025-11-12,https://jwch.fzu.edu.cn/info/1042/14342.htm,2,"['附件1.关于开展2025-2026学年高校课程实施与教材使用监测工作的通知.pdf', '附件2.2025-2026学年上下学期教材使用工作报告（示例）.docx']","['75', '41']","['https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16732112', 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16732113']"
质量办,关于公布福州大学2025年教师教学创新大赛—入围教学设计创新汇报名单的通知,2025-11-12,https://jwch.fzu.edu.cn/info/1040/14341.htm,0,['无'],[0],['无']
实践科,关于做好2025年本科生科研训练计划项目中期检查工作的通知,2025-11-10,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14321,1,['附件.rar'],['475'],['https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16731411']
实践科,关于做好大学生学科竞赛项目认定工作的通知,2025-11-05,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14316,4,"['附件1：《2023全国普通高校大学生竞赛分析报告》竞赛目录（本科部分）.docx', '附件2：福州大学大学生学科竞赛级别直接认定项目近三年参赛及获奖情况表.doc', '附件3：福州大学大学生学科竞赛级别认定申请表.doc', '附件4：福州大学大学生学科竞赛级别认定申请汇总表.doc']","['170', '185', '105', '110']","['https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16730698', 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16730232', 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16730231', 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16730233']"
教学运行,关于做好2026届预计毕业生电子注册图像采集工作的通知,2025-10-30,https://jwch.fzu.edu.cn/info/1036/14284.htm,3,"['附件1：拍照地点示意图.pdf', '附件2：各学院分班拍摄顺序.pdf', '附件3：获得图像采集码途径.pdf']","['1119', '1714', '2250']","['https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728636', 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728634', 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728635']"
教学运行,关于2025-2026学年第一学期《概率论与数理统计》课程半期考试安排的通知,2025-11-04,https://jwch.fzu.edu.cn/info/1036/14315.htm,1,['2501概率论半期考11.16下午.xlsx'],['158'],['https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16729972']
教学运行,关于2025-2026学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,2025-10-29,https://jwch.fzu.edu.cn/info/1036/14283.htm,1,['2501大物A（下）、B（下）半期考11.9上午.xlsx'],['269'],['https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728534']
教学运行,关于2025-2026学年第一学期《高等数学A（下）》课程半期考试安排的通知,2025-10-29,https://jwch.fzu.edu.cn/info/1036/14281.htm,1,['2501高等数学A（下）半期考11.2上午.xlsx'],['194'],['https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728461']
教学运行,福州大学关于印发本科生转专业管理实施办法的通知,2025-10-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14277,0,['无'],[0],['无']
实践科,关于组织参加2026年美国大学生数学建模竞赛的通知,2025-10-24,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14274,0,['无'],[0],['无']
质量办,关于为2025年新上岗教师配备导师的通知,2025-10-21,https://jwch.fzu.edu.cn/info/1040/14264.htm,1,['2025年福州大学新上岗教师达标培训班名单（配导师）.xlsx'],['480'],['https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16726268']
质量办,关于举办福州大学第七十四场“教学有道”研讨活动暨2025年教师教学创新大赛培训会的通知,2025-10-13,https://jwch.fzu.edu.cn/info/1040/14251.htm,0,['无'],[0],['无']
教学运行,关于组织2025级新生开展学籍信息自查工作的通知,2025-10-11,https://jwch.fzu.edu.cn/info/1036/14245.htm,0,['无'],[0],['无']
质量办,关于举办福州大学第七十三场“教学有道”研讨活动的通知,2025-09-28,https://jwch.fzu.edu.cn/info/1040/14235.htm,0,['无'],[0],['无']
教学运行,关于2025-2026-01学期体育理论教室安排（2025级）的通知,2025-09-26,https://jwch.fzu.edu.cn/info/1036/14232.htm,0,['无'],[0],['无']
教学运行,关于2025年国庆节、中秋节放假课程调整的通知,2025-09-24,https://jwch.fzu.edu.cn/info/1036/14229.htm,0,['无'],[0],['无']
综合科,关于2025-2026学年第一学期本科生学生证补办和火车票优惠区间更改的通知,2025-09-07,https://jwch.fzu.edu.cn/../info/1035/14190.htm,0,['无'],[0],['无']
