通知人,标题,日期,详情链接,下载量1,附件1,附件链接1,下载量2,附件2,附件链接2,下载量3,附件3,附件链接3,下载量4,附件4,附件链接4,下载量5,附件5,附件链接5,下载量6,附件6,附件链接6,下载量7,附件7,附件链接7,下载量8,附件8,附件链接8,下载量9,附件9,附件链接9
教学运行,关于组织2025级新生开展学籍信息自查工作的通知,2025-10-11,https://jwch.fzu.edu.cn/info/1036/14245.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
质量办,关于举办福州大学第七十三场“教学有道”研讨活动的通知,2025-09-28,https://jwch.fzu.edu.cn/info/1040/14235.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2025-2026-01学期体育理论教室安排（2025级）的通知,2025-09-26,https://jwch.fzu.edu.cn/info/1036/14232.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2025年国庆节、中秋节放假课程调整的通知,2025-09-24,https://jwch.fzu.edu.cn/info/1036/14229.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
综合科,关于召开2025-2026学年秋季学期期初本科教育教学工作会议的通知,2025-09-23,https://jwch.fzu.edu.cn/info/1035/14228.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于举办2025年福州大学大学生工程实践与创新能力大赛的通知,2025-09-23,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14227,108,附件1：2025年福州大学大学生工程实践与创新能力大赛组委会成员名单.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720642,141,附件2：2025年福州大学大学生工程实践与创新能力大赛报名表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720643,335,附件3：2025年福州大学大学生工程实践与创新能力大赛命题与运行.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720644,,,,,,,,,,,,,,,,,,
教学运行,关于做好2025-2026学年第二学期排课准备工作的通知,2025-09-22,https://jwch.fzu.edu.cn/info/1036/14225.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2025-2026学年第一学期重新学习选课、缴费的通知,2025-09-22,https://jwch.fzu.edu.cn/info/1036/14224.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
计划科,关于2025-2026学年第一学期参加《大学生国家安全教育》课程学习的通知,2025-09-22,https://jwch.fzu.edu.cn/info/1038/14223.htm,2838,超星尔雅使用手册（学生版）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720002,,,,,,,,,,,,,,,,,,,,,,,,
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练2025秋》宣讲会及选课的通知,2025-09-19,https://jwch.fzu.edu.cn/info/1038/14220.htm,1184,2025年秋季国际化拔尖创新人才科研训练具体课程清单.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16719456,,,,,,,,,,,,,,,,,,,,,,,,
计划科,关于2025-2026学年第一学期爱课程平台参加通识教育选修课学习的重要提示,2025-09-18,https://jwch.fzu.edu.cn/info/1038/14219.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于开展大学生劳动教育优秀案例征集活动的通知,2025-09-16,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14216,26,2021-2025年福州大学大学生劳动教育实践基地立项建设名单.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16718938,27,附件：福州大学大学生劳动教育优秀案例征集汇总表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16718678,,,,,,,,,,,,,,,,,,,,,
计划科,关于公布2025-2026学年第一学期通选课取消开课名单的通知,2025-09-15,https://jwch.fzu.edu.cn/info/1038/14213.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教研教改,关于2025级“数智实验班”入选学生名单的公示,2025-09-12,https://jwch.fzu.edu.cn/info/1037/14206.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教研教改,关于2025级“数理综合班”入选学生名单的公示,2025-09-12,https://jwch.fzu.edu.cn/info/1037/14205.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教研教改,关于2025级“嘉锡化学拔尖班”入选学生名单的公示,2025-09-12,https://jwch.fzu.edu.cn/info/1037/14204.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教研教改,关于2025级“数理金融实验班”入选学生名单的公示,2025-09-12,https://jwch.fzu.edu.cn/info/1037/14203.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
质量办,关于开展福州大学2025年教师教学创新大赛的通知,2025-09-12,https://jwch.fzu.edu.cn/info/1040/14202.htm,189,附件1-5.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16717599,,,,,,,,,,,,,,,,,,,,,,,,
教研教改,关于公布参加2025级“数智实验班”选拔面试学生名单的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1037/14201.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教研教改,关于公布参加2025级“数理综合班”选拔面试学生名单的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1037/14198.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教研教改,关于公布参加2025级“数理金融实验班”选拔面试学生名单的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1037/14197.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教研教改,关于公布参加2025级“嘉锡化学拔尖班”选拔面试学生名单的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1037/14196.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
