Date,Mean Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Sunshine Duration (s)
2024-01-01,11.8,15.3,9.3,0.0,34956.35
2024-01-02,12.2,18.9,5.4,0.9,34982.11
2024-01-03,13.6,19.3,9.9,0.0,34464.38
2024-01-04,10.8,15.2,4.4,0.0,35040.16
2024-01-05,12.8,20.7,5.2,0.0,35050.47
2024-01-06,14.5,21.5,8.9,0.0,35039.76
2024-01-07,12.5,16.9,9.4,0.0,32426.91
2024-01-08,12.1,16.3,8.6,5.8,16752.85
2024-01-09,13.7,17.0,10.9,2.1,2056.92
2024-01-10,13.6,21.0,9.6,0.0,33021.32
2024-01-11,10.9,15.7,8.1,0.0,28176.11
2024-01-12,11.5,19.3,5.3,0.0,35010.46
2024-01-13,13.2,21.3,8.1,0.0,35011.95
2024-01-14,14.5,22.6,7.0,0.0,35015.21
2024-01-15,12.8,18.2,8.4,0.0,32003.89
2024-01-16,12.2,17.1,8.5,0.0,32417.76
2024-01-17,14.3,22.2,6.6,0.0,35034.52
2024-01-18,17.2,24.8,11.9,0.0,35044.05
2024-01-19,16.6,20.6,14.8,0.0,19598.2
2024-01-20,16.7,21.1,14.2,0.5,19305.71
2024-01-21,13.1,14.4,11.7,0.6,0.0
2024-01-22,8.5,11.2,4.3,5.6,0.0
2024-01-23,5.3,10.5,3.2,5.1,11183.85
2024-01-24,5.2,11.0,-0.5,0.0,31532.05
2024-01-25,7.9,12.6,3.1,0.0,28952.33
2024-01-26,8.3,13.7,2.7,0.0,35239.9
2024-01-27,9.4,12.5,7.3,0.0,12169.46
2024-01-28,10.1,14.7,7.5,0.0,18510.35
2024-01-29,11.3,17.1,5.4,0.2,23169.26
2024-01-30,14.6,20.2,11.0,0.2,30234.22
2024-01-31,16.2,24.0,11.4,0.0,25199.6
2024-02-01,19.5,25.5,15.0,0.5,25726.25
2024-02-02,13.5,16.0,11.8,1.9,0.0
2024-02-03,14.6,20.4,11.7,0.0,22865.91
2024-02-04,14.0,16.2,12.2,4.7,0.0
2024-02-05,12.6,17.1,8.9,0.0,26496.59
2024-02-06,10.6,13.1,9.3,0.0,2646.64
2024-02-07,9.0,10.4,8.1,25.7,0.0
2024-02-08,8.0,9.1,6.5,3.2,0.0
2024-02-09,9.3,13.1,7.0,0.5,976.9
2024-02-10,9.8,16.1,4.3,0.0,36755.67
2024-02-11,11.3,19.1,4.6,0.0,37464.75
2024-02-12,11.8,18.4,6.1,0.0,37538.46
2024-02-13,14.2,21.2,7.2,0.0,37476.4
2024-02-14,16.3,24.4,8.9,0.0,37532.12
2024-02-15,18.0,25.6,13.1,3.0,36367.49
2024-02-16,11.3,14.4,8.6,0.7,14578.12
2024-02-17,13.1,21.2,7.7,0.0,37948.46
2024-02-18,17.3,27.5,11.2,0.0,34008.88
2024-02-19,21.1,28.3,16.0,0.0,26449.14
2024-02-20,20.9,29.6,15.8,0.0,33173.71
2024-02-21,22.4,31.1,17.1,0.0,34461.73
2024-02-22,14.6,19.8,11.0,2.0,73.73
2024-02-23,11.3,13.5,10.1,1.2,0.0
2024-02-24,11.5,14.7,9.8,3.4,576.55
2024-02-25,11.2,12.7,9.3,3.0,649.89
2024-02-26,9.1,10.4,8.0,5.4,0.0
2024-02-27,10.2,13.7,8.3,0.8,3567.21
2024-02-28,11.8,16.3,9.4,0.3,19170.28
2024-02-29,13.0,17.2,10.5,19.2,5834.42
2024-03-01,10.2,13.1,7.9,1.8,694.16
2024-03-02,8.6,12.4,5.2,0.0,29565.57
2024-03-03,9.7,14.9,4.2,0.0,38590.67
2024-03-04,15.2,23.2,9.1,0.4,35995.02
2024-03-05,21.0,28.9,15.4,0.8,30759.04
2024-03-06,15.8,19.1,12.4,8.7,5424.86
2024-03-07,12.7,17.5,9.8,2.2,27282.62
2024-03-08,12.1,17.6,8.1,0.0,38756.23
2024-03-09,9.7,11.5,6.7,2.8,6369.22
2024-03-10,12.2,16.9,7.8,1.4,36464.77
2024-03-11,12.9,15.4,10.4,14.7,0.0
2024-03-12,14.6,21.6,8.2,0.0,38983.69
2024-03-13,13.1,16.9,10.2,0.0,13905.7
2024-03-14,14.2,18.1,11.3,3.9,3852.28
2024-03-15,15.9,19.4,13.0,11.1,2293.17
2024-03-16,17.2,21.4,14.1,4.8,15812.56
2024-03-17,19.2,26.3,14.7,1.8,32554.49
2024-03-18,14.2,17.2,11.8,0.0,27112.96
2024-03-19,14.1,19.7,11.1,0.2,29498.5
2024-03-20,13.3,18.1,9.0,0.0,39121.34
2024-03-21,14.3,19.3,9.1,0.0,33117.43
2024-03-22,18.5,26.2,11.5,0.0,25886.85
2024-03-23,20.1,27.7,14.4,0.5,19986.4
2024-03-24,23.9,32.1,16.6,0.0,38714.03
2024-03-25,25.1,33.6,18.0,0.0,40579.38
2024-03-26,19.7,23.9,15.0,0.0,38387.18
2024-03-27,16.5,20.2,14.0,0.0,39728.47
2024-03-28,20.5,28.7,13.7,9.4,33946.2
2024-03-29,20.7,27.8,16.0,0.0,39780.22
2024-03-30,21.7,27.1,17.4,5.3,28229.29
2024-03-31,22.9,27.1,18.8,14.3,16039.05
2024-04-01,21.3,24.5,18.3,0.2,30746.7
2024-04-02,24.5,31.5,18.3,0.0,38652.8
2024-04-03,26.7,34.5,21.6,0.0,34415.63
2024-04-04,19.4,22.7,15.8,26.2,0.0
2024-04-05,15.8,17.4,14.7,9.0,0.0
2024-04-06,17.0,21.3,14.0,10.6,12751.84
2024-04-07,17.5,20.7,15.8,15.5,1902.35
2024-04-08,19.6,24.5,16.2,1.8,19906.38
2024-04-09,18.0,20.1,16.2,2.5,7885.6
2024-04-10,17.8,22.1,12.5,0.0,35429.83
2024-04-11,20.9,27.1,17.4,0.0,35798.27
2024-04-12,22.1,27.5,17.1,1.2,27245.31
2024-04-13,22.0,25.1,19.8,0.2,4882.96
2024-04-14,24.0,31.2,19.4,0.1,24521.71
2024-04-15,25.6,32.4,19.9,0.0,39287.43
2024-04-16,24.7,29.0,21.6,2.7,36151.32
2024-04-17,24.5,28.7,22.2,12.5,19435.96
2024-04-18,21.4,24.0,18.4,0.8,23644.1
2024-04-19,19.9,24.1,16.4,3.0,29671.07
2024-04-20,23.6,30.9,17.8,4.4,31790.71
2024-04-21,24.7,29.4,21.5,3.2,29000.38
2024-04-22,22.9,26.9,20.1,33.2,11798.82
2024-04-23,23.0,26.1,20.9,6.7,15469.82
2024-04-24,21.1,23.1,18.5,5.7,17147.47
2024-04-25,19.8,22.1,18.0,9.3,10458.42
2024-04-26,22.2,26.9,18.6,2.2,16288.39
2024-04-27,23.2,27.3,21.3,0.5,10941.76
2024-04-28,24.1,28.7,21.0,1.9,23001.83
2024-04-29,25.7,32.6,19.4,2.3,40271.1
2024-04-30,24.2,26.8,22.3,25.6,851.72
2024-05-01,20.1,22.5,17.6,4.7,465.67
2024-05-02,19.0,23.4,17.3,1.8,22085.81
2024-05-03,19.7,24.1,15.6,0.0,40774.96
2024-05-04,21.0,23.3,18.7,2.4,7769.91
2024-05-05,24.3,30.3,19.8,12.1,32053.91
2024-05-06,24.3,30.4,19.7,0.0,43200.0
2024-05-07,22.9,26.1,19.8,0.0,11693.91
2024-05-08,23.4,27.9,20.5,0.6,42120.11
2024-05-09,20.5,24.3,17.7,0.0,32926.16
2024-05-10,21.2,26.1,15.3,0.0,43200.0
2024-05-11,24.7,31.5,20.1,0.2,26452.28
2024-05-12,24.2,28.8,20.2,32.3,8926.93
2024-05-13,19.3,23.0,15.8,1.8,29909.13
2024-05-14,18.9,25.1,12.5,0.0,43301.73
2024-05-15,21.3,27.6,14.2,0.0,43332.66
2024-05-16,20.4,24.4,16.5,0.0,43247.67
2024-05-17,20.9,28.1,13.0,0.0,43372.09
2024-05-18,23.4,29.1,16.8,0.0,43200.0
2024-05-19,23.6,29.6,17.7,0.0,28551.33
2024-05-20,22.7,24.7,20.8,16.4,1498.18
2024-05-21,22.3,23.5,21.1,51.9,0.0
2024-05-22,22.1,24.6,20.7,34.9,0.0
2024-05-23,22.0,23.5,20.5,24.0,0.0
2024-05-24,24.5,29.3,21.2,1.2,16320.16
2024-05-25,24.8,28.4,22.7,9.8,16938.75
2024-05-26,26.3,31.6,22.7,2.5,36718.73
2024-05-27,26.3,30.6,23.4,5.3,22357.77
2024-05-28,23.7,25.5,20.2,2.9,35895.6
2024-05-29,21.3,25.6,16.9,0.0,43923.2
2024-05-30,23.1,27.5,18.2,2.4,25102.22
2024-05-31,27.0,32.9,22.7,7.9,35999.92
2024-06-01,22.9,25.3,21.0,29.0,0.0
2024-06-02,20.5,21.5,18.6,39.2,0.0
2024-06-03,20.7,23.3,17.0,0.0,9105.68
2024-06-04,20.8,26.4,15.4,1.2,19883.93
2024-06-05,21.2,22.9,19.6,9.5,0.0
2024-06-06,22.2,24.4,20.2,0.7,1513.91
2024-06-07,23.6,27.4,20.9,0.1,26677.3
2024-06-08,25.2,30.3,21.1,16.0,36000.0
2024-06-09,25.1,29.6,22.9,23.5,14263.86
2024-06-10,26.6,30.6,23.9,10.8,7200.0
