Time,Temperature (°C),Relative Humidity (%),Apparent Temperature (°C),Precipitation (mm),Weather Code (WMO),Cloud Cover (%),Wind Speed 10m (km/h),Wind Direction 10m (°),Day/Night,Shortwave Radiation (W/m²)
2024-01-01T00:00,13.4,72,11.8,0.0,3,100,8.1,58,Night,0.0
2024-01-01T01:00,12.8,72,11.2,0.0,3,93,7.0,55,Night,0.0
2024-01-01T02:00,12.3,69,10.6,0.0,3,100,5.7,55,Night,0.0
2024-01-01T03:00,11.2,70,9.7,0.0,3,100,4.1,52,Night,0.0
2024-01-01T04:00,10.7,72,9.1,0.0,2,65,3.6,53,Night,0.0
2024-01-01T05:00,9.3,79,7.5,0.0,0,5,5.5,67,Night,0.0
2024-01-01T06:00,9.3,76,7.5,0.0,0,2,4.8,77,Night,0.0
2024-01-01T07:00,9.3,76,7.6,0.0,0,6,4.4,81,Day,0.0
2024-01-01T08:00,9.9,74,8.2,0.0,0,8,4.0,85,Day,138.8
2024-01-01T09:00,11.5,67,9.5,0.0,0,7,6.3,77,Day,320.2
2024-01-01T10:00,12.7,62,10.7,0.0,0,11,6.1,87,Day,474.2
2024-01-01T11:00,13.9,57,11.7,0.0,0,9,7.6,93,Day,592.8
2024-01-01T12:00,15.0,53,13.0,0.0,0,13,9.4,97,Day,645.1
2024-01-01T13:00,15.3,51,12.7,0.0,0,12,12.0,99,Day,602.8
2024-01-01T14:00,15.2,49,12.1,0.0,0,15,13.2,101,Day,535.5
2024-01-01T15:00,14.5,50,11.3,0.0,0,4,12.8,100,Day,384.7
2024-01-01T16:00,13.4,55,10.5,0.0,0,0,11.4,103,Day,218.4
2024-01-01T17:00,12.0,64,9.6,0.0,0,0,8.6,105,Day,42.8
2024-01-01T18:00,10.2,76,8.6,0.0,0,0,4.6,108,Night,0.0
2024-01-01T19:00,9.3,80,7.6,0.0,0,0,5.5,101,Night,0.0
2024-01-01T20:00,10.4,73,9.0,0.0,0,2,2.8,50,Night,0.0
2024-01-01T21:00,11.0,73,9.8,0.0,0,2,2.1,31,Night,0.0
2024-01-01T22:00,10.6,76,9.4,0.0,0,3,2.4,27,Night,0.0
