title,time,department,file_dowload_situation,content
关于公布福州大学第十三届大学生节能减排社会实践与科技竞赛暨第九届材料创新、设计及应用竞赛获奖名单的通知,发布时间：2023-05-30,实践科,,"校教〔2023〕13号各学院：由福州大学教务处、研究生院主办，材料科学与工程学院承办的福州大学第十三届大学生节能减排社会实践与科技竞赛暨第九届材料创新、设计及应用竞赛现已圆满结束，本次竞赛共有来自电气工程与自动化学院、土木工程学院、环境与安全工程学院、生物科学与工程学院、材料科学与工程学院、先进制造学院等共计37支队伍参赛。经过专家评审，分别评出一等奖4项、二等奖8项、三等奖12项，现将获奖名单公布如下：一、节能减排社会实践与科技竞赛（一）本科生组获奖等级作品名称作者指导教师学院一等奖仿生纳滤膜的设计及混合废水净化研究郑紫阳、陈颖铮、张可、黄倩雅、郑之龙陈飞飞材料科学与工程学院二等奖“沧海育木”——低碳型海岸植生混凝土开拓者徐宁远、陈禺涵、黄敬真、张雯淇、陈维铠许平凡、章培昆先进制造学院二等奖基于液态金属的电催化还原硝酸盐材料冯遥男、刘铃钰、陈巧蓉、张慧婷钟升红材料科学与工程学院三等奖改性聚苯胺基氮掺杂炭材料的制备及应用崔晨丹、杨嘉、李杨妍、刘铭富吕秋丰材料科学与工程学院三等奖基于二维/三维锰锆材料实现高效选择性氧化生物质的催化体系的构建钟郅吴、郭耀辉、贺鑫、杨璐源、陈继昌庄赞勇材料科学与工程学院三等奖脱硫灰/天然橡胶复合材料的制备及性能研究罗炜枫、蔡金平 、汪杰 、郑雅渟 、邢湘玉林腾飞材料科学与工程学院（二）研究生组获奖等级作品名称作者指导教师学院一等奖海上风电输电工程电压调整降损减碳优化郑弘奇、邹舒瑾、黄珍瑶、张俊涛江岳文电气工程与自动化学院二等奖单组分镍渣基地聚物水泥前驱物改性设计与研究彭紫宣、阙沅昊、辛城、霍乾辉、陈潇年王雪芳先进制造学院二等奖单组分碱激发再生微粉地质聚合物设计及制备康思享、王景杨、张湘晨、陈骋、黄孟熙吴文达先进制造学院三等奖用于压电光催化的高熵氧化物(Bi0.2Na0.2Ba0.2K0.2La0.2)TiO3张慧婷、傅汉鑫、刘铃钰、张存烨、韩旭蕊林枞材料科学与工程学院三等奖生物法制备钙钛矿游佳瑞、牟朝阳、刘千一、陈依、高昊威李雯、顾训明先进制造学院三等奖50t/d餐厨垃圾有机浆料黑水虻高效转化与资源化工程设计周本、陈鹭、陈羽馨、邓雅丹张良清先进制造学院二、材料创新、设计及应用竞赛（一）本科生组获奖等级作品名称作者指导教师学院一等奖轻质柔性纸基锂电池负极材料张馨文、张馨元、刘志平、陈娉婷陈奇俤、蔡道平材料科学与工程学院二等奖超细TiO2/PB的定向组装实现高分辨率、可逆光打印韩昀晖、刘铃钰、曹众、黄鑫、郑怡炜庄赞勇材料科学与工程学院二等奖一种Er3+, Yb3+共掺杂上转换型光学温度传感器何克非、江晨、朱志琳王国强、李凌云材料科学与工程学院三等奖智能温度响应材料在锂离子电池中的应用任璐敏、林隽妍、蔡铭益陈敬龙材料科学与工程学院三等奖“草色宛墙”——新型垂直绿化植生混凝土陈禺涵、徐宁远、黄敬真、张雯淇、陈维铠许平凡、罗耀发先进制造学院三等奖改性埃洛石修饰MXene@聚氨酯油水分离海绵刘滋荣、郑何卓艺、杨嘉、李杨妍吕秋丰材料科学与工程学院（二）研究生组获奖等级作品名称作者指导教师学院一等奖兼具优异电磁屏蔽效能和高火安全性的多功能柔性封装材料的设计开发与应用王恒睿、朱琰珺、姜淞琼、刘炎、王富成施永乾环境与安全工程学院二等奖预防腹腔粘连的水凝胶陈佳颖、周仪、柳知疑、杨佳超温娜材料科学与工程学院二等奖宽电压窗口的非对称纤维状柔性超级电容器唐涵、贺瑾凤、徐新亚吴明懋材料科学与工程学院三等奖伤口灵——高效愈伤活体酵母水凝胶材料蔡静雯、滕灵、袁嘉娴吴元子生物科学与工程学院三等奖高稳定性免烧纳米结构Ni-GDC阳极材料的制备与应用关蕴哲、王柏森、张馨元、郑志成、王国权陈孔发材料科学与工程学院三等奖TPU/石墨烯改性聚氨酯注浆材料设计艾江来、王超、汪如意、肖欣、李晓静郑玉婴先进制造学院福州大学教务处福州大学研究生院2023年5月30日"
关于公布福州大学第三届大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,发布时间：2023-05-30,实践科,,校教〔2023〕12号各学院：由我校机械工程及自动化学院承办的福州大学第三届大学生先进成图技术与产品信息建模创新大赛于2023年4月15日顺利结束。本次比赛共有60名学生报名参加，根据学生的二维绘图和三维建模综合成绩，最终决出一等奖6项、二等奖12项、三等奖18项。现将获奖名单公布如下：获奖等级姓名学院一等奖杨琪机械工程及自动化学院一等奖施玮恒机械工程及自动化学院一等奖唐佳靖机械工程及自动化学院一等奖陈雨珊机械工程及自动化学院一等奖汤进涛机械工程及自动化学院一等奖黄宇超机械工程及自动化学院二等奖高叶鹏机械工程及自动化学院二等奖徐康奇机械工程及自动化学院二等奖郭泽坤机械工程及自动化学院二等奖邵铭宇机械工程及自动化学院二等奖彭永琦机械工程及自动化学院二等奖庄梓祺机械工程及自动化学院二等奖邹超榕机械工程及自动化学院二等奖方世程机械工程及自动化学院二等奖杨江湖机械工程及自动化学院二等奖张震机械工程及自动化学院二等奖郑紫婷机械工程及自动化学院二等奖黄怡静机械工程及自动化学院三等奖聂博博机械工程及自动化学院三等奖林钲越机械工程及自动化学院三等奖林佳佳机械工程及自动化学院三等奖黄海涛机械工程及自动化学院三等奖付艺凡机械工程及自动化学院三等奖周彤机械工程及自动化学院三等奖水梁伟机械工程及自动化学院三等奖刘逍机械工程及自动化学院三等奖陈丹妮机械工程及自动化学院三等奖王敬民机械工程及自动化学院三等奖钟金钗机械工程及自动化学院三等奖吴智豪机械工程及自动化学院三等奖郭昇鑫机械工程及自动化学院三等奖李培扬机械工程及自动化学院三等奖方呈机械工程及自动化学院三等奖零古本机械工程及自动化学院三等奖庞荣春机械工程及自动化学院三等奖葛宪宇机械工程及自动化学院福州大学教务处2023年5月30日
关于2022-2023学年第二学期《思想道德与法治》课程期末考试安排的通知,发布时间：2023-05-26,教学运行,附件【2202 思想道德与法治 随堂考安排.xlsx】已下载1099次,各有关学院：定于16周进行《思想道德与法治》课程期末随堂考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。马克思主义学院教务处2023年5月26日
关于2022-2023学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,发布时间：2023-05-26,教学运行,附件【2202 毛泽东思想概论 随堂考安排.xlsx】已下载1170次,各有关学院：定于16周进行《毛泽东思想和中国特色社会主义理论体系概论》课程期末随堂考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。马克思主义学院教务处2023年5月26日
关于2022-2023学年第二学期《马克思主义基本原理》课程期末考试安排的通知,发布时间：2023-05-26,教学运行,附件【2202 马克思主义基本原理 随堂考安排.xlsx】已下载1553次,各有关学院：定于16周进行《马克思主义基本原理》课程期末随堂考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。马克思主义学院教务处2023年5月26日
关于2022-2023学年第二学期《高等数学A（中）、B（下）、C（下）》课程期末考试安排的通知,发布时间：2023-05-26,教学运行,附件【2202高等数学A(中）、C（下）期末考试安排 6.11上午第二场.xlsx】已下载1179次附件【2202高等数学B（下）期末考试安排 6.11上午第一场.xlsx】已下载1073次,各有关学院：定于6月11日上午进行《高等数学A（中）、B（下）、C（下）》课程期末考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。数统学院教务处2023年5月26日
关于2022-2023学年第二学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,发布时间：2023-05-24,教学运行,附件【2202线性代数期末考试6.4下午.xlsx】已下载1236次,各有关学院：定于6月4日下午进行《线性代数》、《线性代数与解析几何》课程期末考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。数统学院教务处2023年5月24日
福州大学关于开展第七届远志创业实验班招生工作的通知,发布时间：2023-05-22,教研教改,附件【附件1：福州大学第七届远志创业实验班招生简章.docx】已下载1388次附件【附件2：远志创业实验班修读申请表.docx】已下载1059次,校教〔2023〕10号各学院：为推进我校创新创业教育的深入开展，探索专业教育与创新创业教育深度融合的教育模式，培养能够适应当前国家战略转型与区域经济发展需要，有使命感和责任意识，具备较强创新思维、创业精神和创新创业能力的复合型卓越人才，经研究，决定举办福州大学第七届远志创业实验班，请各学院积极做好宣传报名工作，鼓励有创新创业潜质且有较强烈创业意愿的学生参加报名，具体有关事项见《福州大学第七届远志创业实验班招生简章》。特此通知。   附件1：福州大学第七届远志创业实验班招生简章.docx   附件2：远志创业实验班修读申请表.docx       福州大学教务处                                 2023年5月22日
关于举办福州大学第四十二场“教学有道”研讨活动的通知,发布时间：2023-05-22,质量办,,各学院、有关单位：为推广优秀教学设计的理念和思路，进一步提升我校青年教师教学能力与水平。经研究，学校决定举办第四十二场“教学有道”专题研讨，具体安排如下：一、研讨主题科教融合理念下案例教学法的检视与省思二、研讨时间2023年5月25日（周四）下午14:30三、主讲人法学院 王才伟 博士四、研讨地点法学楼233会议室五、承办单位建筑与城乡规划学院、法学院六、参会人员1.法学院教师；2.全校其他感兴趣的教师。主讲人简介：王才伟博士，福州大学法学院讲师、硕士生导师。曾获得福州大学教学名师奖，第五届福建省高校青年教师教学竞赛人文社会学科学组一等奖，第五届福建省高校青年教师教学竞赛“福建省高校青年教学能手”等多项荣誉。福州大学教务处2023年5月22日
关于2022-2023学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,发布时间：2023-05-22,综合科,,                    各学院：根据《福州大学学生证管理办法》（福大政【2019】25号），针对部分学生丢失学生证的情况，特安排本学期的学生证和火车票优惠卡补办等工作，具体工作安排如下：一、补办学生证和火车票优惠卡1、补办范围学生在校学习期间，学生证和火车票优惠卡原则上只补办一次。本次补办仅限具有福州大学全日制学籍、首次丢失学生证和火车票优惠卡的学生。2、申请时间2023年5月22日-2023年5月28日3、补办程序（1）在福州大学教务处网站首页登陆“本科教学管理系统”，完成学生证和火车票优惠卡补办申请。（2）学院和教务处分别对学生的申请进行初核和复核，其中申请信息经审核发现不属实者不予受理。（3）学生接到通知短信后，到学校行政北楼西210室领取补办的学生证和火车票优惠卡。二、更改火车票优惠卡区间1、更改时间2023年6月1日-2023年7月8日16：002、更改程序（1）在福州大学教务处网站首页登陆“本科教学管理系统”，完成火车票优惠卡修改申请。（2）学院和教务处分别对学生的申请进行初核和复核，其中申请信息经审核发现不属实者不予受理。（3）学生接到通知短信后，到学校行政北楼西210室办理。3、因家庭住址变更或父母工作地点发生变化而须改乘车区间的，必须交验家长工作单位或户籍管理部门提供的书面证明，方可办理变更手续；因火车站点变更等原因造成乘车区间改变的，无须提供证明，可直接办理变更手续。三、请各学院认真做好学生证和补办的初核工作。各学院在审核学生补办申请时，要加强对学生的思想教育，教育学生重视、爱惜学生证和火车票优惠卡。学生要树立良好的诚信意识，不得擅自涂改学生证和火车票优惠卡内容，不得转借或抵押他人，不得在申领的过程中弄虚作假。如有违反者，一经查出，学校将收回违规学生证和火车票优惠卡，取消其补办资格，并追究学生本人责任。四、因学生证和火车票优惠卡丢失而补办新证后又找回原证的，须将原证交至教务处注销。教务处2023年5月22日
