time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,weather_code,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2024-01-01T00:00,13.4,72,8.4,11.8,0.0,3,100,8.1,58,15.8
2024-01-01T01:00,12.8,72,7.8,11.2,0.0,3,93,7.0,55,16.2
2024-01-01T02:00,12.3,69,6.8,10.6,0.0,3,100,5.7,55,14.4
2024-01-01T03:00,11.2,70,6.0,9.7,0.0,3,100,4.1,52,12.6
2024-01-01T04:00,10.7,72,5.8,9.1,0.0,2,65,3.6,53,9.4
2024-01-01T05:00,9.3,79,5.9,7.5,0.0,0,5,5.5,67,9.7
2024-01-01T06:00,9.3,76,5.4,7.5,0.0,0,2,4.8,77,9.7
2024-01-01T07:00,9.3,76,5.3,7.6,0.0,0,6,4.4,81,8.3
2024-01-01T08:00,9.9,74,5.5,8.2,0.0,0,8,4.0,85,9.4
2024-01-01T09:00,11.5,67,5.5,9.5,0.0,0,7,6.3,77,16.9
2024-01-01T10:00,12.7,62,5.5,10.7,0.0,0,11,6.1,87,18.4
2024-01-01T11:00,13.9,57,5.5,11.7,0.0,0,9,7.6,93,20.9
2024-01-01T12:00,15.0,53,5.5,13.0,0.0,0,13,9.4,97,23.8
2024-01-01T13:00,15.3,51,5.1,12.7,0.0,0,12,12.0,99,27.7
2024-01-01T14:00,15.2,49,4.5,12.1,0.0,0,15,13.2,101,29.9
2024-01-01T15:00,14.5,50,4.1,11.3,0.0,0,4,12.8,100,29.5
2024-01-01T16:00,13.4,55,4.6,10.5,0.0,0,0,11.4,103,27.7
2024-01-01T17:00,12.0,64,5.3,9.6,0.0,0,0,8.6,105,23.8
2024-01-01T18:00,10.2,76,6.3,8.6,0.0,0,0,4.6,108,16.9
2024-01-01T19:00,9.3,80,6.1,7.6,0.0,0,0,5.5,101,10.1
2024-01-01T20:00,10.4,73,5.7,9.0,0.0,0,2,2.8,50,9.0
2024-01-01T21:00,11.0,73,6.3,9.8,0.0,0,2,2.1,31,5.0
2024-01-01T22:00,10.6,76,6.5,9.4,0.0,0,3,2.4,27,5.0
2024-01-01T23:00,10.1,81,6.9,9.0,0.0,0,4,2.2,9,5.0
2024-01-02T00:00,9.2,88,7.4,8.2,0.0,0,11,2.6,344,5.0
2024-01-02T01:00,7.5,99,7.4,6.3,0.0,0,17,4.1,322,6.8
2024-01-02T02:00,6.4,100,6.4,4.6,0.0,3,97,6.4,317,10.4
2024-01-02T03:00,5.7,100,5.7,3.6,0.0,1,21,7.1,311,11.5
2024-01-02T04:00,5.4,99,5.2,3.2,0.0,0,15,6.9,309,11.5
2024-01-02T05:00,5.4,95,4.6,3.1,0.0,0,6,6.9,309,11.5
2024-01-02T06:00,6.7,93,5.6,4.7,0.0,0,2,6.3,301,11.2
2024-01-02T07:00,5.9,94,5.0,3.6,0.0,0,1,7.2,297,10.8
2024-01-02T08:00,9.0,85,6.7,7.4,0.0,0,1,5.3,298,11.2
2024-01-02T09:00,11.3,74,6.8,9.8,0.0,0,14,4.6,309,13.7
2024-01-02T10:00,14.0,63,7.2,12.9,0.0,0,0,3.1,315,14.4
2024-01-02T11:00,15.9,58,7.8,15.2,0.0,0,0,1.5,45,13.7
2024-01-02T12:00,17.3,55,8.3,17.1,0.0,0,0,2.4,117,14.0
2024-01-02T13:00,18.4,53,8.6,18.0,0.0,0,0,4.4,125,16.2
2024-01-02T14:00,18.9,52,8.7,17.8,0.0,0,0,6.7,126,18.4
2024-01-02T15:00,18.8,52,8.9,17.2,0.0,0,0,9.0,127,20.5
2024-01-02T16:00,18.2,55,8.9,16.4,0.0,0,5,10.3,126,20.9
2024-01-02T17:00,16.4,62,9.1,15.1,0.0,0,12,7.4,137,20.5
2024-01-02T18:00,13.9,74,9.3,12.9,0.0,3,96,6.2,144,14.0
2024-01-02T19:00,14.4,72,9.4,13.7,0.0,3,100,4.0,185,11.2
2024-01-02T20:00,13.2,81,9.9,12.5,0.0,3,83,4.6,225,6.8
2024-01-02T21:00,13.2,89,11.3,13.2,0.9,53,88,3.1,249,5.8
2024-01-02T22:00,13.2,87,11.2,13.2,0.0,2,78,2.6,196,5.4
2024-01-02T23:00,13.7,82,10.7,13.6,0.0,3,100,2.2,180,5.0
2024-01-03T00:00,13.8,82,10.7,14.0,0.0,3,100,0.7,180,4.7
2024-01-03T01:00,13.0,90,11.3,13.1,0.0,0,9,2.2,180,5.0
2024-01-03T02:00,13.1,87,10.9,12.9,0.0,1,26,3.4,238,7.6
2024-01-03T03:00,13.0,87,11.0,12.8,0.0,1,45,4.0,265,9.0
2024-01-03T04:00,11.3,91,9.9,10.3,0.0,1,31,7.0,282,12.6
2024-01-03T05:00,11.2,85,8.8,9.9,0.0,0,1,6.7,286,15.1
2024-01-03T06:00,10.7,83,7.9,8.9,0.0,0,5,8.8,289,18.7
2024-01-03T07:00,9.9,86,7.6,8.0,0.0,1,24,8.4,290,18.7
2024-01-03T08:00,10.9,80,7.6,8.8,0.0,0,14,10.6,288,20.2
2024-01-03T09:00,13.3,71,8.3,11.3,0.0,0,18,10.7,290,22.3
2024-01-03T10:00,14.4,67,8.2,12.2,0.0,0,9,12.1,297,25.9
2024-01-03T11:00,15.1,63,8.1,12.6,0.0,1,28,13.7,300,29.5
2024-01-03T12:00,16.2,58,7.8,13.8,0.0,1,49,14.2,300,31.3
2024-01-03T13:00,17.5,51,7.3,15.0,0.0,0,6,15.3,294,32.8
2024-01-03T14:00,18.5,46,6.7,15.7,0.0,0,5,14.8,293,33.1
2024-01-03T15:00,19.3,43,6.2,17.2,0.0,0,16,8.2,293,30.6
2024-01-03T16:00,18.0,46,6.1,15.6,0.0,2,69,10.0,111,18.4
2024-01-03T17:00,13.9,70,8.6,11.5,0.0,0,18,14.4,112,32.4
2024-01-03T18:00,11.4,81,8.3,10.0,0.0,0,18,6.4,133,25.6
2024-01-03T19:00,13.0,69,7.3,11.8,0.0,1,22,3.6,135,10.4
2024-01-03T20:00,12.7,68,7.0,11.7,0.0,0,15,1.8,360,7.2
2024-01-03T21:00,12.8,75,8.6,12.0,0.0,2,53,3.1,21,6.8
2024-01-03T22:00,12.7,76,8.5,11.8,0.0,2,78,3.4,18,7.2
2024-01-03T23:00,10.2,85,7.8,8.7,0.0,3,82,6.4,38,11.5
2024-01-04T00:00,9.7,87,7.6,8.1,0.0,0,13,6.9,43,12.2
2024-01-04T01:00,8.8,86,6.6,6.8,0.0,0,1,8.2,49,13.7
2024-01-04T02:00,8.3,78,4.7,5.8,0.0,0,0,8.4,43,14.8
2024-01-04T03:00,10.9,64,4.3,8.7,0.0,0,0,5.5,11,14.0
2024-01-04T04:00,8.3,76,4.3,6.2,0.0,0,0,5.5,349,10.4
2024-01-04T05:00,7.1,84,4.6,5.0,0.0,0,0,5.6,333,10.4
2024-01-04T06:00,6.1,95,5.4,4.1,0.0,0,0,6.3,329,10.4
2024-01-04T07:00,4.4,100,4.3,1.8,0.0,0,0,8.2,331,12.2
2024-01-04T08:00,7.7,89,6.0,5.8,0.0,0,0,6.8,328,13.0
2024-01-04T09:00,10.7,61,3.5,8.2,0.0,0,3,7.0,339,17.3
2024-01-04T10:00,12.2,50,2.1,9.2,0.0,0,7,8.4,40,21.2
2024-01-04T11:00,13.2,48,2.6,10.4,0.0,0,17,8.2,61,22.3
2024-01-04T12:00,14.1,47,2.9,11.8,0.0,0,16,7.6,71,22.3
2024-01-04T13:00,14.9,46,3.3,12.7,0.0,0,10,8.4,83,22.3
2024-01-04T14:00,15.2,45,3.4,12.7,0.0,0,2,8.6,90,22.3
2024-01-04T15:00,15.2,45,3.2,12.3,0.0,0,0,9.4,94,22.3
2024-01-04T16:00,14.6,47,3.3,11.7,0.0,0,0,9.3,103,22.0
2024-01-04T17:00,12.9,57,4.5,10.8,0.0,0,0,5.2,106,19.8
2024-01-04T18:00,12.8,59,5.1,11.0,0.0,0,0,4.3,85,11.2
2024-01-04T19:00,11.9,69,6.4,10.7,0.0,0,0,2.2,360,6.5
2024-01-04T20:00,10.8,80,7.5,9.8,0.0,0,0,3.0,346,5.4
2024-01-04T21:00,10.3,89,8.5,9.7,0.0,0,4,1.6,333,3.6
2024-01-04T22:00,9.4,96,8.8,8.6,0.0,0,1,3.8,319,5.8
2024-01-04T23:00,8.9,97,8.5,7.7,0.0,0,0,5.6,315,8.3
2024-01-05T00:00,6.7,98,6.4,4.7,0.0,0,6,7.5,305,11.2
2024-01-05T01:00,8.7,92,7.4,7.2,0.0,0,2,5.6,297,11.5
2024-01-05T02:00,8.7,90,7.1,7.2,0.0,0,0,5.1,278,9.4
2024-01-05T03:00,7.0,94,6.1,5.1,0.0,0,1,6.7,286,10.8
2024-01-05T04:00,6.7,94,5.8,4.6,0.0,0,5,7.4,284,11.5
2024-01-05T05:00,6.3,95,5.5,4.2,0.0,0,8,7.3,281,11.5
2024-01-05T06:00,5.7,96,5.1,3.4,0.0,0,11,8.1,283,12.2
2024-01-05T07:00,5.2,97,4.7,2.6,0.0,0,15,8.9,284,14.0
2024-01-05T08:00,8.6,85,6.2,6.9,0.0,1,26,5.6,255,13.7
2024-01-05T09:00,11.7,74,7.1,10.1,0.0,1,31,5.6,310,14.8
2024-01-05T10:00,14.6,62,7.4,13.4,0.0,1,40,3.6,315,15.1
2024-01-05T11:00,16.7,54,7.4,15.6,0.0,1,30,3.6,323,14.0
2024-01-05T12:00,18.6,48,7.5,17.8,0.0,0,1,3.5,336,15.1
2024-01-05T13:00,19.9,43,7.1,19.5,0.0,0,0,2.3,18,15.1
2024-01-05T14:00,20.6,41,6.9,19.9,0.0,0,0,1.5,76,13.3
2024-01-05T15:00,20.7,41,7.1,19.6,0.0,0,0,2.4,117,11.5
2024-01-05T16:00,20.4,43,7.4,19.4,0.0,0,1,2.0,135,10.8
2024-01-05T17:00,19.4,48,8.1,18.3,0.0,0,5,4.3,114,6.8
2024-01-05T18:00,15.2,62,8.0,13.6,0.0,0,3,7.5,125,12.6
2024-01-05T19:00,13.1,82,10.1,12.1,0.0,0,2,7.3,110,13.0
2024-01-05T20:00,13.8,80,10.5,13.4,0.0,0,0,4.1,52,11.5
2024-01-05T21:00,13.5,85,11.0,13.5,0.0,0,2,1.8,53,5.0
2024-01-05T22:00,13.1,88,11.1,13.4,0.0,0,5,0.7,270,2.9
2024-01-05T23:00,12.7,90,11.1,12.6,0.0,0,4,3.3,264,5.0
2024-01-06T00:00,12.2,92,11.0,12.1,0.0,0,1,2.9,277,5.4
2024-01-06T01:00,11.8,95,11.0,11.6,0.0,0,0,3.2,270,5.8
2024-01-06T02:00,11.3,97,10.9,11.0,0.0,0,2,4.0,280,6.5
2024-01-06T03:00,10.8,99,10.7,10.4,0.0,0,0,4.4,279,7.2
2024-01-06T04:00,10.4,100,10.4,9.9,0.0,3,98,4.3,265,7.6
2024-01-06T05:00,10.1,100,10.1,9.7,0.0,3,98,3.8,253,7.2
2024-01-06T06:00,10.0,98,9.7,9.4,0.0,1,48,4.0,260,7.2
2024-01-06T07:00,8.9,100,8.9,8.1,0.0,1,20,3.8,253,6.8
2024-01-06T08:00,10.4,96,9.8,10.0,0.0,0,0,3.0,256,7.9
2024-01-06T09:00,14.2,74,9.7,13.8,0.0,0,0,2.5,315,10.8
2024-01-06T10:00,16.8,61,9.3,16.3,0.0,0,7,2.7,337,13.0
2024-01-06T11:00,18.8,54,9.3,18.4,0.0,0,1,1.6,27,13.0
2024-01-06T12:00,20.3,50,9.4,20.5,0.0,0,0,1.8,90,13.0
2024-01-06T13:00,21.2,48,9.7,21.2,0.0,0,2,4.2,110,15.8
2024-01-06T14:00,21.5,48,9.9,20.5,0.0,0,17,6.6,112,18.0
2024-01-06T15:00,20.8,50,10.1,19.3,0.0,0,11,10.6,114,23.0
2024-01-06T16:00,18.4,54,8.9,16.0,0.0,0,16,15.2,112,29.9
2024-01-06T17:00,16.3,57,7.7,14.8,0.0,0,7,6.2,111,28.8
2024-01-06T18:00,14.9,62,7.6,13.5,0.0,0,2,5.4,138,11.9
2024-01-06T19:00,15.1,60,7.5,13.8,0.0,0,1,4.5,119,7.6
2024-01-06T20:00,14.1,65,7.7,13.0,0.0,0,7,3.6,96,6.5
2024-01-06T21:00,14.0,70,8.6,13.5,0.0,1,22,1.1,360,4.3
2024-01-06T22:00,13.3,75,8.9,12.5,0.0,0,6,3.4,342,5.0
2024-01-06T23:00,12.4,82,9.4,11.6,0.0,0,11,4.8,333,7.2
2024-01-07T00:00,10.5,90,8.9,9.4,0.0,1,25,5.9,313,8.6
2024-01-07T01:00,11.1,90,9.6,10.5,0.0,1,41,3.8,319,8.6
2024-01-07T02:00,10.6,95,9.8,10.1,0.0,3,100,3.3,311,6.5
2024-01-07T03:00,9.8,98,9.5,9.3,0.0,3,100,2.6,286,5.8
2024-01-07T04:00,9.6,98,9.4,9.2,0.0,3,100,2.3,288,5.4
