发布部门,标题,发布时间,通知URL,是否有附件,附件信息,下载次数参数
实践科,关于举办2025年福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛的通知,发布时间：2025-04-16,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13999,无,无,无
质量办,关于举办福州大学第六十七场“教学有道”研讨活动——暨2025年全国周培源大学生力学竞赛进校园活动的通知,发布时间：2025-04-16,https://jwch.fzu.edu.cn//../info/1040/13997.htm,无,无,无
实践科,关于举办福州大学第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛的通知,发布时间：2025-04-15,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13995,有,附件.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15776222),"wbfileid=15776222,owner=1744984858"
实践科,关于举办福州大学第十九届数学建模竞赛暨2025年“高教社杯”全国大学生数学建模竞赛选拔赛的通知,发布时间：2025-04-14,https://jwch.fzu.edu.cn//../info/1039/13993.htm,有,附件.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15775875),"wbfileid=15775875,owner=1744984858"
教材中心,2025年福建省高校教材联合巡展 （福州大学）活动通知,发布时间：2025-04-11,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13991,无,无,无
教学运行,关于2024-2025学年第二学期《线性代数》课程半期考试安排的通知,发布时间：2025-04-11,https://jwch.fzu.edu.cn//../info/1036/13989.htm,有,2402线代半期考-4.26晚上.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15775021),"wbfileid=15775021,owner=1744984858"
教学运行,关于2025届预计毕业生补拍电子注册学历照片的通知,发布时间：2025-04-10,https://jwch.fzu.edu.cn//../info/1036/13988.htm,有,附件3：获得图像采集码途径.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774886); 附件1：行政北楼平面图.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774887); 附件2：证件照拍摄要求.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774888),"wbfileid=15774886,owner=1744984858; wbfileid=15774887,owner=1744984858; wbfileid=15774888,owner=1744984858"
教研教改,福州大学关于公布2023级数理金融实验班 学生主辅修专业及导师名单的通知,发布时间：2025-04-09,https://jwch.fzu.edu.cn//../info/1037/13986.htm,无,无,无
质量办,关于开展2025年春季学期本科实验教学专项检查的通知,发布时间：2025-04-08,https://jwch.fzu.edu.cn//../info/1040/13983.htm,有,附件.rar(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15773204),"wbfileid=15773204,owner=1744984858"
质量办,关于开展2024年新上岗教师课堂授课达标考核的通知,发布时间：2025-04-07,https://jwch.fzu.edu.cn//../info/1040/13982.htm,有,附件2：2024年新上岗教师课堂授课达标考核情况汇总表---需一式三份报教评中心.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15771692); 附件1：2024年福州大学新上岗教师达标培训班名单.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15771690),"wbfileid=15771692,owner=1744984858; wbfileid=15771690,owner=1744984858"
质量办,关于举办福州大学第六十六场“教学有道”暨第一期智慧教学课程平台与AI智慧教学工具培训的通知,发布时间：2025-04-07,https://jwch.fzu.edu.cn//../info/1040/13981.htm,无,无,无
实践科,关于开展大学生校外实践教学基地检查评估工作的通知,发布时间：2025-04-02,https://jwch.fzu.edu.cn//../info/1039/13977.htm,有,附件1：福州大学大学生校外实践教学基地检查评估汇总表.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770743); 附件2：福州大学大学生校外实践教学基地检查评估表.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770744),"wbfileid=15770743,owner=1744984858; wbfileid=15770744,owner=1744984858"
教学运行,关于2025年清明节放假课程调整的通知,发布时间：2025-04-01,https://jwch.fzu.edu.cn//../info/1036/13976.htm,无,无,无
