date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration
2024-01-01 00:00:00+08:00,3.0,11.823085,15.296,9.346001,0.0,34956.35
2024-01-02 00:00:00+08:00,53.0,12.1918335,18.896,5.396,0.9,34982.11
2024-01-03 00:00:00+08:00,3.0,13.591832,19.296,9.896,0.0,34464.375
2024-01-04 00:00:00+08:00,0.0,10.7835,15.246,4.396,0.0,35040.164
2024-01-05 00:00:00+08:00,1.0,12.841832,20.696,5.196,0.0,35050.47
2024-01-06 00:00:00+08:00,3.0,14.525165,21.496,8.945999,0.0,35039.758
2024-01-07 00:00:00+08:00,3.0,12.450168,16.946,9.396,0.0,32426.914
2024-01-08 00:00:00+08:00,63.0,12.141833,16.346,8.596001,5.7999997,16752.852
2024-01-09 00:00:00+08:00,51.0,13.675166,17.046,10.945999,2.1000001,2056.9182
2024-01-10 00:00:00+08:00,2.0,13.602248,21.046,9.646,0.0,33021.316
2024-01-11 00:00:00+08:00,3.0,10.9418335,15.746,8.096001,0.0,28176.113
2024-01-12 00:00:00+08:00,3.0,11.537666,19.345999,5.296,0.0,35010.465
2024-01-13 00:00:00+08:00,0.0,13.189748,21.296,8.146,0.0,35011.945
2024-01-14 00:00:00+08:00,2.0,14.493916,22.595999,7.046,0.0,35015.21
2024-01-15 00:00:00+08:00,3.0,12.846,18.246,8.396,0.0,32003.895
2024-01-16 00:00:00+08:00,3.0,12.191833,17.146,8.496,0.0,32417.756
2024-01-17 00:00:00+08:00,3.0,14.277248,22.196,6.596,0.0,35034.516
2024-01-18 00:00:00+08:00,1.0,17.198082,24.796,11.896,0.0,35044.047
2024-01-19 00:00:00+08:00,3.0,16.58975,20.646,14.846001,0.0,19598.201
2024-01-20 00:00:00+08:00,51.0,16.65225,21.095999,14.195999,0.5,19305.707
2024-01-21 00:00:00+08:00,51.0,13.058501,14.445999,11.746,0.6,0.0
2024-01-22 00:00:00+08:00,53.0,8.529332,11.246,4.3459997,5.6,0.0
2024-01-23 00:00:00+08:00,55.0,5.2939167,10.496,3.196,5.1,11183.848
2024-01-24 00:00:00+08:00,3.0,5.1751666,10.996,-0.50399995,0.0,31532.047
2024-01-25 00:00:00+08:00,3.0,7.9251657,12.646,3.146,0.0,28952.328
2024-01-26 00:00:00+08:00,3.0,8.3064165,13.746,2.696,0.0,35239.9
2024-01-27 00:00:00+08:00,3.0,9.381417,12.496,7.296,0.0,12169.461
2024-01-28 00:00:00+08:00,3.0,10.075168,14.695999,7.496,0.0,18510.346
2024-01-29 00:00:00+08:00,51.0,11.268916,17.095999,5.446,0.2,23169.26
2024-01-30 00:00:00+08:00,51.0,14.579333,20.196,11.046,0.2,30234.219
2024-01-31 00:00:00+08:00,3.0,16.168917,23.996,11.445999,0.0,25199.598
2024-02-01 00:00:00+08:00,51.0,19.498083,25.546,15.046,0.5,25726.254
2024-02-02 00:00:00+08:00,53.0,13.518916,16.046,11.846001,1.9000001,0.0
2024-02-03 00:00:00+08:00,3.0,14.568915,20.396,11.695999,0.0,22865.91
2024-02-04 00:00:00+08:00,63.0,13.977252,16.196,12.195999,4.7000003,0.0
2024-02-05 00:00:00+08:00,3.0,12.612666,17.146,8.896,0.0,26496.588
2024-02-06 00:00:00+08:00,3.0,10.646,13.096001,9.296,0.0,2646.6367
2024-02-07 00:00:00+08:00,63.0,8.981417,10.445999,8.096001,25.699999,0.0
2024-02-08 00:00:00+08:00,55.0,8.016833,9.146,6.496,3.1999996,0.0
2024-02-09 00:00:00+08:00,51.0,9.321,13.096001,7.046,0.5,976.9031
2024-02-10 00:00:00+08:00,3.0,9.7751665,16.096,4.296,0.0,36755.668
2024-02-11 00:00:00+08:00,0.0,11.279332,19.095999,4.646,0.0,37464.746
2024-02-12 00:00:00+08:00,0.0,11.781417,18.396,6.096,0.0,37538.465
2024-02-13 00:00:00+08:00,3.0,14.158498,21.246,7.196,0.0,37476.4
2024-02-14 00:00:00+08:00,1.0,16.343914,24.446,8.945999,0.0,37532.12
2024-02-15 00:00:00+08:00,55.0,17.962664,25.646,13.146,3.0,36367.49
2024-02-16 00:00:00+08:00,53.0,11.277249,14.396,8.596001,0.7,14578.125
2024-02-17 00:00:00+08:00,3.0,13.050166,21.196,7.746,0.0,37948.46
2024-02-18 00:00:00+08:00,3.0,17.325167,27.496,11.246,0.0,34008.875
2024-02-19 00:00:00+08:00,3.0,21.146,28.296,15.996,0.0,26449.137
2024-02-20 00:00:00+08:00,3.0,20.904333,29.595999,15.796,0.0,33173.71
