date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,sunshine_duration,precipitation_sum
2024-01-01 00:00:00+00:00,9.775,14.75,4.85,36000.0,0.0
2024-01-02 00:00:00+00:00,13.462498,18.35,8.5,36000.0,0.9
2024-01-03 00:00:00+00:00,11.697915,18.75,3.85,36000.0,0.0
2024-01-04 00:00:00+00:00,9.883332,14.7,4.65,36000.0,0.0
2024-01-05 00:00:00+00:00,13.564584,20.15,8.1,36000.0,0.0
2024-01-06 00:00:00+00:00,13.952084,20.95,9.1,36000.0,0.0
2024-01-07 00:00:00+00:00,11.539582,16.4,8.05,32861.664,0.0
2024-01-08 00:00:00+00:00,12.389583,15.8,9.85,16752.852,6.499999
2024-01-09 00:00:00+00:00,12.747917,16.5,9.1,2277.7495,1.4000001
2024-01-10 00:00:00+00:00,12.385417,20.5,7.55,33888.277,0.0
2024-01-11 00:00:00+00:00,9.660416,15.2,4.75,28917.838,0.0
2024-01-12 00:00:00+00:00,11.979168,18.8,7.6,36341.2,0.0
2024-01-13 00:00:00+00:00,12.08125,20.75,6.5,36317.906,0.0
2024-01-14 00:00:00+00:00,14.689583,22.05,7.85,36012.688,0.0
2024-01-15 00:00:00+00:00,12.3625,17.7,8.75,32983.812,0.0
2024-01-16 00:00:00+00:00,10.860416,16.6,6.05,33098.47,0.0
2024-01-17 00:00:00+00:00,15.324998,21.65,9.55,36221.23,0.0
2024-01-18 00:00:00+00:00,17.439583,24.25,12.65,36196.266,0.0
2024-01-19 00:00:00+00:00,16.210417,20.1,14.8,19598.201,0.2
2024-01-20 00:00:00+00:00,15.260418,20.55,11.75,19305.707,0.6
2024-01-21 00:00:00+00:00,11.552083,13.9,8.85,0.0,0.3
2024-01-22 00:00:00+00:00,5.7666664,9.2,2.65,0.0,9.7
2024-01-23 00:00:00+00:00,4.0208335,9.95,-1.05,12254.551,1.0
2024-01-24 00:00:00+00:00,5.922917,10.45,2.25,32400.0,0.0
2024-01-25 00:00:00+00:00,7.2979164,12.1,2.15,29924.977,0.0
2024-01-26 00:00:00+00:00,8.73125,13.2,5.25,36821.145,0.0
2024-01-27 00:00:00+00:00,8.847917,11.95,6.95,13092.348,0.0
2024-01-28 00:00:00+00:00,9.152083,14.15,4.9,19318.107,0.0
2024-01-29 00:00:00+00:00,12.329167,16.55,7.85,23950.676,0.4
2024-01-30 00:00:00+00:00,14.129167,19.65,10.9,31967.004,0.0
2024-01-31 00:00:00+00:00,16.80625,23.45,12.0,25853.926,0.0
2024-02-01 00:00:00+00:00,18.539581,25.0,12.25,26115.361,2.2999997
2024-02-02 00:00:00+00:00,12.183333,13.8,11.15,0.0,0.1
2024-02-03 00:00:00+00:00,14.531249,19.85,11.75,23205.094,0.0
2024-02-04 00:00:00+00:00,12.470834,15.65,8.35,0.0,4.7000003
2024-02-05 00:00:00+00:00,11.945832,16.6,9.0,27041.193,0.0
2024-02-06 00:00:00+00:00,9.725,12.55,7.8,2646.6367,1.5
2024-02-07 00:00:00+00:00,7.9062495,9.9,5.95,0.0,26.399998
2024-02-08 00:00:00+00:00,7.6374993,8.6,6.7,0.0,1.3000001
2024-02-09 00:00:00+00:00,8.104165,12.55,3.75,1800.8276,0.2
2024-02-10 00:00:00+00:00,9.308333,15.55,4.1,38730.03,0.0
2024-02-11 00:00:00+00:00,11.014583,18.55,5.55,38934.08,0.0
2024-02-12 00:00:00+00:00,11.899999,17.85,6.65,38975.684,0.0
2024-02-13 00:00:00+00:00,13.974998,20.7,8.4,39016.93,0.0
2024-02-14 00:00:00+00:00,17.041666,23.9,12.05,39057.78,0.0
2024-02-15 00:00:00+00:00,16.583334,25.1,9.85,37649.25,3.0
2024-02-16 00:00:00+00:00,9.864583,13.85,7.2,15714.689,0.7
2024-02-17 00:00:00+00:00,13.527084,20.65,9.2,39177.855,0.0
2024-02-18 00:00:00+00:00,18.525002,26.95,12.15,35616.99,0.0
2024-02-19 00:00:00+00:00,20.525,27.75,15.25,26449.137,0.0
2024-02-20 00:00:00+00:00,20.562496,29.05,16.55,34593.402,0.0
2024-02-21 00:00:00+00:00,21.700003,30.6,13.4,35784.055,1.5
2024-02-22 00:00:00+00:00,11.922916,14.35,9.85,73.725815,1.1000001
2024-02-23 00:00:00+00:00,10.589585,12.95,9.3,0.0,1.2
2024-02-24 00:00:00+00:00,11.435414,14.15,9.5,576.5529,3.2
2024-02-25 00:00:00+00:00,9.889584,12.2,7.8,649.8905,3.3999999
2024-02-26 00:00:00+00:00,8.343749,9.85,7.5,0.0,4.9999995
2024-02-27 00:00:00+00:00,10.025001,13.2,8.25,3567.206,0.4
2024-02-28 00:00:00+00:00,11.862499,15.75,9.7,20847.793,0.3
2024-02-29 00:00:00+00:00,11.820834,16.7,8.8,5834.4243,19.900002
2024-03-01 00:00:00+00:00,8.556249,12.55,4.65,694.1594,1.1
2024-03-02 00:00:00+00:00,8.012501,11.9,3.65,29643.527,0.0
2024-03-03 00:00:00+00:00,10.516666,14.35,6.65,39600.0,0.4
2024-03-04 00:00:00+00:00,16.489584,22.65,11.8,37606.22,0.1
2024-03-05 00:00:00+00:00,21.004168,28.4,13.5,31903.994,6.1
2024-03-06 00:00:00+00:00,13.393749,16.35,10.5,5424.862,5.5
2024-03-07 00:00:00+00:00,11.362499,16.95,7.55,28827.049,0.0
2024-03-08 00:00:00+00:00,11.312499,17.05,6.2,39600.0,0.1
2024-03-09 00:00:00+00:00,9.08125,10.95,7.25,7200.0,2.6999998
2024-03-10 00:00:00+00:00,12.656249,16.35,9.8,37027.793,2.9000003
2024-03-11 00:00:00+00:00,11.520833,14.85,7.7,824.66974,13.200001
2024-03-12 00:00:00+00:00,14.972917,21.05,9.7,39600.0,0.0
2024-03-13 00:00:00+00:00,12.752083,16.35,10.35,13905.697,0.0
2024-03-14 00:00:00+00:00,14.393749,17.6,12.15,3852.2754,12.7
2024-03-15 00:00:00+00:00,15.427083,18.9,13.55,2293.165,4.5999994
2024-03-16 00:00:00+00:00,17.325,20.9,14.65,16086.029,2.4999998
2024-03-17 00:00:00+00:00,17.833334,25.8,12.65,32554.492,1.8000001
2024-03-18 00:00:00+00:00,12.977082,16.7,10.55,27649.076,0.2
2024-03-19 00:00:00+00:00,12.960416,19.2,8.5,30062.318,0.0
2024-03-20 00:00:00+00:00,12.697914,17.55,8.55,42624.902,0.0
2024-03-21 00:00:00+00:00,14.679166,18.75,11.0,31824.354,0.0
2024-03-22 00:00:00+00:00,18.860418,25.7,13.9,25886.852,0.0
2024-03-23 00:00:00+00:00,20.335417,27.2,16.1,21075.32,0.5
2024-03-24 00:00:00+00:00,23.893751,31.6,17.5,42510.465,0.0
2024-03-25 00:00:00+00:00,24.941666,33.05,18.25,42951.17,0.0
2024-03-26 00:00:00+00:00,17.0125,23.4,13.5,38412.133,0.0
2024-03-27 00:00:00+00:00,16.083334,19.7,13.15,39600.0,0.0
2024-03-28 00:00:00+00:00,20.708332,28.2,15.5,37490.99,9.400001
2024-03-29 00:00:00+00:00,20.497913,27.25,16.9,38509.855,3.6000001
2024-03-30 00:00:00+00:00,21.847916,26.6,18.3,28312.287,2.1
2024-03-31 00:00:00+00:00,22.291666,26.55,17.75,17400.727,14.0
2024-04-01 00:00:00+00:00,20.472918,24.0,17.75,30391.85,0.1
2024-04-02 00:00:00+00:00,25.147917,31.0,20.45,40865.26,0.0
2024-04-03 00:00:00+00:00,25.908333,34.0,18.65,33377.836,13.199999
2024-04-04 00:00:00+00:00,16.810415,19.45,14.7,0.0,16.099998
2024-04-05 00:00:00+00:00,14.945832,16.85,13.45,1717.0001,8.8
2024-04-06 00:00:00+00:00,16.895834,20.8,15.25,11733.13,20.6
2024-04-07 00:00:00+00:00,17.191668,20.15,15.7,1902.3525,3.2
2024-04-08 00:00:00+00:00,19.10625,23.95,15.65,19906.379,3.5
2024-04-09 00:00:00+00:00,16.464584,19.55,12.0,11485.602,0.2
2024-04-10 00:00:00+00:00,18.560415,21.55,16.6,32294.521,0.0
2024-04-11 00:00:00+00:00,20.437502,26.6,16.6,38287.805,0.0
2024-04-12 00:00:00+00:00,22.579165,26.95,19.85,25200.0,1.3000001
2024-04-13 00:00:00+00:00,20.956251,24.55,18.85,4882.959,0.1
2024-04-14 00:00:00+00:00,23.891663,30.7,19.35,28121.713,0.1
2024-04-15 00:00:00+00:00,25.466665,31.9,21.05,38969.3,1.8000001
2024-04-16 00:00:00+00:00,24.5,28.45,22.25,33161.66,1.2
2024-04-17 00:00:00+00:00,23.368752,28.15,19.85,19435.955,12.5
2024-04-18 00:00:00+00:00,19.414581,23.45,15.85,25118.502,2.0
2024-04-19 00:00:00+00:00,19.881248,23.55,17.3,29923.676,1.5
2024-04-20 00:00:00+00:00,24.347918,30.4,20.95,33093.12,4.4999995
2024-04-21 00:00:00+00:00,23.558329,28.9,19.6,25970.965,26.0
2024-04-22 00:00:00+00:00,22.554167,26.4,20.4,11798.818,11.200002
2024-04-23 00:00:00+00:00,22.287498,25.55,20.15,15469.815,9.2
2024-04-24 00:00:00+00:00,19.73125,22.55,17.45,20747.47,3.7000003
2024-04-25 00:00:00+00:00,19.402082,21.55,18.05,6858.4185,7.8999996
2024-04-26 00:00:00+00:00,22.552084,26.35,20.4,16288.386,2.1999998
2024-04-27 00:00:00+00:00,22.625,26.75,20.5,10941.757,0.70000005
2024-04-28 00:00:00+00:00,23.247915,28.15,18.9,26601.826,1.7
2024-04-29 00:00:00+00:00,26.118752,32.05,22.15,36671.1,5.3999996
2024-04-30 00:00:00+00:00,22.897919,26.3,19.0,851.72266,24.400002
2024-05-01 00:00:00+00:00,18.425001,21.25,16.95,465.6745,4.5
2024-05-02 00:00:00+00:00,18.064585,22.85,15.1,23260.777,0.1
2024-05-03 00:00:00+00:00,19.995832,23.6,17.95,39600.0,1.5
2024-05-04 00:00:00+00:00,20.83333,22.8,19.25,7769.9077,11.099999
2024-05-05 00:00:00+00:00,24.033335,29.8,19.15,35709.05,1.9000002
2024-05-06 00:00:00+00:00,23.606249,29.85,19.3,39600.0,0.0
2024-05-07 00:00:00+00:00,22.654167,25.55,19.95,14214.013,0.0
2024-05-08 00:00:00+00:00,21.916664,27.4,17.15,40126.16,0.6
2024-05-09 00:00:00+00:00,19.339582,23.75,14.75,36000.0,0.0
2024-05-10 00:00:00+00:00,22.070833,25.55,19.2,39600.0,0.2
2024-05-11 00:00:00+00:00,24.704165,31.0,21.3,26452.28,0.5
2024-05-12 00:00:00+00:00,22.0625,28.3,16.65,8926.934,32.699993
2024-05-13 00:00:00+00:00,17.354166,22.45,12.0,34487.68,0.9
2024-05-14 00:00:00+00:00,19.070835,24.55,13.7,44966.81,0.0
2024-05-15 00:00:00+00:00,21.645836,27.05,15.95,43642.15,0.0
2024-05-16 00:00:00+00:00,18.56042,23.85,12.45,44918.754,0.0
2024-05-17 00:00:00+00:00,21.535418,27.6,16.25,43930.293,0.0
2024-05-18 00:00:00+00:00,23.152082,28.55,17.15,41139.125,0.0
2024-05-19 00:00:00+00:00,23.683329,29.05,20.3,27012.207,5.7
2024-05-20 00:00:00+00:00,22.106249,24.15,20.6,1498.1793,20.500002
2024-05-21 00:00:00+00:00,21.685417,22.95,20.2,0.0,68.200005
2024-05-22 00:00:00+00:00,21.479166,24.05,19.95,0.0,17.099998
2024-05-23 00:00:00+00:00,21.729166,23.0,20.65,0.0,16.800003
2024-05-24 00:00:00+00:00,24.393747,28.75,22.15,16320.16,0.3
2024-05-25 00:00:00+00:00,24.291672,27.9,22.15,18282.361,9.8
2024-05-26 00:00:00+00:00,25.981253,31.05,22.9,38776.957,2.4
2024-05-27 00:00:00+00:00,25.862501,30.1,22.8,20336.072,7.799999
2024-05-28 00:00:00+00:00,21.191668,25.0,16.4,41212.688,0.3
2024-05-29 00:00:00+00:00,21.008335,25.05,17.7,42040.92,0.0
2024-05-30 00:00:00+00:00,24.022917,26.95,21.25,25987.46,2.4
2024-05-31 00:00:00+00:00,26.447916,32.35,22.2,34689.008,19.0
2024-06-01 00:00:00+00:00,21.310417,23.45,19.75,0.0,44.600002
2024-06-02 00:00:00+00:00,19.110416,21.0,16.5,4752.48,12.5
2024-06-03 00:00:00+00:00,19.895836,22.75,14.85,10609.814,0.0
2024-06-04 00:00:00+00:00,21.195833,25.9,19.05,15866.601,1.2
2024-06-05 00:00:00+00:00,20.964582,22.35,19.65,0.0,9.8
2024-06-06 00:00:00+00:00,21.808334,23.85,20.2,5427.9307,0.4
2024-06-07 00:00:00+00:00,23.310417,26.85,20.6,27700.455,0.1
2024-06-08 00:00:00+00:00,25.089584,29.75,22.4,32436.152,16.800001
2024-06-09 00:00:00+00:00,24.947914,29.05,23.35,14263.857,25.5
2024-06-10 00:00:00+00:00,26.433334,30.1,24.15,10800.0,8.7
2024-06-11 00:00:00+00:00,26.98542,31.4,23.95,23860.697,6.9999995
2024-06-12 00:00:00+00:00,27.243752,32.05,24.0,21577.547,21.1
2024-06-13 00:00:00+00:00,26.624998,29.05,24.65,9447.491,12.9
2024-06-14 00:00:00+00:00,26.745834,30.75,24.4,18294.21,18.900002
2024-06-15 00:00:00+00:00,26.395834,28.35,24.5,0.0,25.300001
2024-06-16 00:00:00+00:00,25.983332,29.8,24.4,10800.0,36.6
