标题,日期,通知人,详细链接,附件1,下载次数1,链接码1,附件2,下载次数2,链接码2,附件3,下载次数3,链接码3,附件4,下载次数4,链接码4,附件5,下载次数5,链接码5,附件6,下载次数6,链接码6,附件7,下载次数7,链接码7,附件8,下载次数8,链接码8,附件9,下载次数9,链接码9
关于2025-2026学年第一学期《高等数学A（下）》课程期末考试安排的通知,2025-12-01,教学运行,https://jwch.fzu.edu.cn/info/1036/14384.htm,2501高等数学A（下）期末考-12.7上午.xlsx,98,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16738452,,,,,,,,,,,,,,,,,,,,,,,,
关于2025-2026学年第一学期《线性代数》和《线性代数与解析几何》课程半期考试安排的通知,2025-12-01,教学运行,https://jwch.fzu.edu.cn/info/1036/14382.htm,2501线性代数、线性代数与解析几何半期考12.7下午.xlsx,153,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16738466,,,,,,,,,,,,,,,,,,,,,,,,
关于2025-2026学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2025-12-01,教学运行,https://jwch.fzu.edu.cn/info/1036/14383.htm,2501习概随堂考.xlsx,98,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16738448,,,,,,,,,,,,,,,,,,,,,,,,
关于2025-2026学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,2025-11-24,教学运行,https://jwch.fzu.edu.cn/info/1036/14373.htm,2501高等数学A（上）、B（上）、C（上）、D半期考11.30上午.xlsx,1009,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16735966,,,,,,,,,,,,,,,,,,,,,,,,
关于组织申报2025-2026学年第二学期通识教育选修课的通知,2025-11-24,计划科,https://jwch.fzu.edu.cn/info/1038/14369.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开展福州大学2022年本科规划教材立项项目结题验收工作的通知,2025-11-18,教材中心,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14364,附件1.福州大学2022年本科规划教材立项项目名单.docx,87,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16733964,附件2.福州大学教材立项项目结题验收申请书.docx,23,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16733963,附件3.福州大学教材立项项目延期申请书.docx,18,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16733965,附件4.福州大学教材立项项目撤项申请书.docx,13,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16733968,附件5.福州大学教材立项项目名称变更申请表.doc,12,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16733967,附件6.福州大学本科教材编写人员政治审查表.docx,11,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16733966,,,,,,,,,
福州大学关于印发教材委员会章程的通知,2025-11-18,教材中心,https://jwch.fzu.edu.cn/info/1042/14363.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于印发教材委员会章程的通知,2025-11-18,教学通知,https://jwch.fzu.edu.cn/info/1012/14362.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2025-2026学年第一学期在校学生申请辅修专业的通知,2025-11-17,计划科,https://jwch.fzu.edu.cn/info/1038/14361.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2025-2026学年第一学期再次开放本科生学生证补办、火车票优惠区间更改及信息采集的通知,2025-11-12,综合科,https://jwch.fzu.edu.cn/info/1035/14344.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
