日期,通知人,标题,详情链接,附件名,下载次数,附件链接
2025-11-14,教学运行,关于公布2025-2026学年各学院转专业实施细则的通知,https://jwch.fzu.edu.cn/info/1036/14352.htm,2025-2026学年各学院转专业实施细则.pdf,3618,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16732856
2025-10-28,教学运行,关于做好2025-2026学年本科生转专业工作的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14278,无,,
2025-09-10,教学通知,关于做好2025年9月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/info/1012/14194.htm,福州大学本科生转专业管理实施办法.docx,234,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630
2025-09-10,教学通知,关于做好2025年9月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/info/1012/14194.htm,福州大学参军退伍复学后学生转专业审批表.doc,157,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625
,教学运行,关于2025-2026学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14373.htm,2501高等数学A（上）、B（上）、C（上）、D半期考11.30上午.xlsx,361,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16735966
,计划科,关于组织申报2025-2026学年第二学期通识教育选修课的通知,https://jwch.fzu.edu.cn/info/1038/14369.htm,无,,
2025-11-18,教材中心,关于开展福州大学2022年本科规划教材立项项目结题验收工作的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14364,无,,
2025-11-18,教材中心,福州大学关于印发教材委员会章程的通知,https://jwch.fzu.edu.cn/info/1042/14363.htm,无,,
2025-11-18,教学通知,福州大学关于印发教材委员会章程的通知,https://jwch.fzu.edu.cn/info/1012/14362.htm,无,,
2025-11-17,计划科,关于2025-2026学年第一学期在校学生申请辅修专业的通知,https://jwch.fzu.edu.cn/info/1038/14361.htm,无,,
2025-11-12,综合科,关于2025-2026学年第一学期再次开放本科生学生证补办、火车票优惠区间更改及信息采集的通知,https://jwch.fzu.edu.cn/info/1035/14344.htm,无,,
2025-11-12,教材中心,关于做好2025-2026学年第一学期本科课程实施与教材使用监测工作的通知,https://jwch.fzu.edu.cn/info/1042/14342.htm,附件1.关于开展2025-2026学年高校课程实施与教材使用监测工作的通知.pdf,14,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16735375
2025-11-12,教材中心,关于做好2025-2026学年第一学期本科课程实施与教材使用监测工作的通知,https://jwch.fzu.edu.cn/info/1042/14342.htm,附件2.2025-2026学年上下学期教材使用工作报告（示例）.docx,18,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16735376
2025-11-12,质量办,关于公布福州大学2025年教师教学创新大赛—入围教学设计创新汇报名单的通知,https://jwch.fzu.edu.cn/info/1040/14341.htm,无,,
2025-11-10,实践科,关于做好2025年本科生科研训练计划项目中期检查工作的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14321,无,,
2025-11-05,实践科,关于做好大学生学科竞赛项目认定工作的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14316,无,,
2025-10-30,教学运行,关于做好2026届预计毕业生电子注册图像采集工作的通知,https://jwch.fzu.edu.cn/info/1036/14284.htm,附件3：获得图像采集码途径.pdf,2529,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728635
2025-10-30,教学运行,关于做好2026届预计毕业生电子注册图像采集工作的通知,https://jwch.fzu.edu.cn/info/1036/14284.htm,附件1：拍照地点示意图.pdf,1440,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728636
2025-10-30,教学运行,关于做好2026届预计毕业生电子注册图像采集工作的通知,https://jwch.fzu.edu.cn/info/1036/14284.htm,附件2：各学院分班拍摄顺序.pdf,2031,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728634
2025-11-04,教学运行,关于2025-2026学年第一学期《概率论与数理统计》课程半期考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14315.htm,2501概率论半期考11.16下午.xlsx,193,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16729972
2025-10-29,教学运行,关于2025-2026学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14283.htm,2501大物A（下）、B（下）半期考11.9上午.xlsx,291,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728534
2025-10-29,教学运行,关于2025-2026学年第一学期《高等数学A（下）》课程半期考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14281.htm,2501高等数学A（下）半期考11.2上午.xlsx,213,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728461
2025-10-28,教学运行,福州大学关于印发本科生转专业管理实施办法的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14277,无,,
2025-10-24,实践科,关于组织参加2026年美国大学生数学建模竞赛的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14274,无,,
2025-10-21,质量办,关于为2025年新上岗教师配备导师的通知,https://jwch.fzu.edu.cn/info/1040/14264.htm,2025年福州大学新上岗教师达标培训班名单（配导师）.xlsx,512,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16726268
2025-10-13,质量办,关于举办福州大学第七十四场“教学有道”研讨活动暨2025年教师教学创新大赛培训会的通知,https://jwch.fzu.edu.cn/info/1040/14251.htm,无,,
2025-10-11,教学运行,关于组织2025级新生开展学籍信息自查工作的通知,https://jwch.fzu.edu.cn/info/1036/14245.htm,无,,
2025-09-28,质量办,关于举办福州大学第七十三场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/info/1040/14235.htm,无,,
2025-09-26,教学运行,关于2025-2026-01学期体育理论教室安排（2025级）的通知,https://jwch.fzu.edu.cn/info/1036/14232.htm,无,,
2025-09-24,教学运行,关于2025年国庆节、中秋节放假课程调整的通知,https://jwch.fzu.edu.cn/info/1036/14229.htm,无,,
2025-09-23,综合科,关于召开2025-2026学年秋季学期期初本科教育教学工作会议的通知,https://jwch.fzu.edu.cn/info/1035/14228.htm,无,,
2025-09-23,实践科,关于举办2025年福州大学大学生工程实践与创新能力大赛的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14227,无,,
2025-09-22,教学运行,关于做好2025-2026学年第二学期排课准备工作的通知,https://jwch.fzu.edu.cn/info/1036/14225.htm,无,,
2025-09-22,教学运行,关于2025-2026学年第一学期重新学习选课、缴费的通知,https://jwch.fzu.edu.cn/info/1036/14224.htm,无,,
2025-09-22,计划科,关于2025-2026学年第一学期参加《大学生国家安全教育》课程学习的通知,https://jwch.fzu.edu.cn/info/1038/14223.htm,超星尔雅使用手册（学生版）.pdf,2948,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720002
2025-09-19,计划科,关于通识教育选修课《国际化拔尖创新人才科研训练2025秋》宣讲会及选课的通知,https://jwch.fzu.edu.cn/info/1038/14220.htm,2025年秋季国际化拔尖创新人才科研训练具体课程清单.xlsx,1198,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16719456
2025-09-18,计划科,关于2025-2026学年第一学期爱课程平台参加通识教育选修课学习的重要提示,https://jwch.fzu.edu.cn/info/1038/14219.htm,无,,
2025-09-16,实践科,关于开展大学生劳动教育优秀案例征集活动的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14216,无,,
2025-09-15,计划科,关于公布2025-2026学年第一学期通选课取消开课名单的通知,https://jwch.fzu.edu.cn/info/1038/14213.htm,无,,
2025-09-12,教研教改,关于2025级“数智实验班”入选学生名单的公示,https://jwch.fzu.edu.cn/info/1037/14206.htm,无,,
