latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.045692,119.24508,3.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation_instant (W/m²),is_day ()
2024-01-01T00:00,13.4,72,11.8,0.00,3,100,8.1,58,0.0,0
2024-01-01T01:00,12.8,72,11.2,0.00,3,93,7.0,55,0.0,0
2024-01-01T02:00,12.3,69,10.6,0.00,3,100,5.7,55,0.0,0
2024-01-01T03:00,11.2,70,9.7,0.00,3,100,4.1,52,0.0,0
2024-01-01T04:00,10.7,72,9.1,0.00,2,65,3.6,53,0.0,0
2024-01-01T05:00,9.3,79,7.5,0.00,0,5,5.5,67,0.0,0
2024-01-01T06:00,9.3,76,7.5,0.00,0,2,4.8,77,0.0,0
2024-01-01T07:00,9.3,76,7.6,0.00,0,6,4.4,81,0.0,1
2024-01-01T08:00,9.9,74,8.2,0.00,0,8,4.0,85,138.8,1
2024-01-01T09:00,11.5,67,9.5,0.00,0,7,6.3,77,320.2,1
2024-01-01T10:00,12.7,62,10.7,0.00,0,11,6.1,87,474.2,1
2024-01-01T11:00,13.9,57,11.7,0.00,0,9,7.6,93,592.8,1
2024-01-01T12:00,15.0,53,13.0,0.00,0,13,9.4,97,645.1,1
2024-01-01T13:00,15.3,51,12.7,0.00,0,12,12.0,99,602.8,1
2024-01-01T14:00,15.2,49,12.1,0.00,0,15,13.2,101,535.5,1
2024-01-01T15:00,14.5,50,11.3,0.00,0,4,12.8,100,384.7,1
2024-01-01T16:00,13.4,55,10.5,0.00,0,0,11.4,103,218.4,1
2024-01-01T17:00,12.0,64,9.6,0.00,0,0,8.6,105,42.8,1
2024-01-01T18:00,10.2,76,8.6,0.00,0,0,4.6,108,0.0,0
2024-01-01T19:00,9.3,80,7.6,0.00,0,0,5.5,101,0.0,0
2024-01-01T20:00,10.4,73,9.0,0.00,0,2,2.8,50,0.0,0
2024-01-01T21:00,11.0,73,9.8,0.00,0,2,2.1,31,0.0,0
2024-01-01T22:00,10.6,76,9.4,0.00,0,3,2.4,27,0.0,0
2024-01-01T23:00,10.1,81,9.0,0.00,0,4,2.2,9,0.0,0
2024-01-02T00:00,9.2,88,8.2,0.00,0,11,2.6,344,0.0,0
2024-01-02T01:00,7.5,99,6.3,0.00,0,17,4.1,322,0.0,0
2024-01-02T02:00,6.4,100,4.6,0.00,3,97,6.4,317,0.0,0
2024-01-02T03:00,5.7,100,3.6,0.00,1,21,7.1,311,0.0,0
2024-01-02T04:00,5.4,99,3.2,0.00,0,15,6.9,309,0.0,0
2024-01-02T05:00,5.4,95,3.1,0.00,0,6,6.9,309,0.0,0
2024-01-02T06:00,6.7,93,4.7,0.00,0,2,6.3,301,0.0,0
2024-01-02T07:00,5.9,94,3.6,0.00,0,1,7.2,297,0.0,1
2024-01-02T08:00,9.0,85,7.4,0.00,0,1,5.3,298,139.4,1
2024-01-02T09:00,11.3,74,9.8,0.00,0,14,4.6,309,305.2,1
2024-01-02T10:00,14.0,63,12.9,0.00,0,0,3.1,315,479.0,1
2024-01-02T11:00,15.9,58,15.2,0.00,0,0,1.5,45,600.5,1
2024-01-02T12:00,17.3,55,17.1,0.00,0,0,2.4,117,650.4,1
2024-01-02T13:00,18.4,53,18.0,0.00,0,0,4.4,125,629.4,1
2024-01-02T14:00,18.9,52,17.8,0.00,0,0,6.7,126,541.4,1
2024-01-02T15:00,18.8,52,17.2,0.00,0,0,9.0,127,398.9,1
2024-01-02T16:00,18.2,55,16.4,0.00,0,5,10.3,126,221.2,1
2024-01-02T17:00,16.4,62,15.1,0.00,0,12,7.4,137,44.2,1
2024-01-02T18:00,13.9,74,12.9,0.00,3,96,6.2,144,0.0,0
2024-01-02T19:00,14.4,72,13.7,0.00,3,100,4.0,185,0.0,0
2024-01-02T20:00,13.2,81,12.5,0.00,3,83,4.6,225,0.0,0
2024-01-02T21:00,13.2,89,13.2,0.90,53,88,3.1,249,0.0,0
2024-01-02T22:00,13.2,87,13.2,0.00,2,78,2.6,196,0.0,0
2024-01-02T23:00,13.7,82,13.6,0.00,3,100,2.2,180,0.0,0
2024-01-03T00:00,13.8,82,14.0,0.00,3,100,0.7,180,0.0,0
2024-01-03T01:00,13.0,90,13.1,0.00,0,9,2.2,180,0.0,0
2024-01-03T02:00,13.1,87,12.9,0.00,1,26,3.4,238,0.0,0
2024-01-03T03:00,13.0,87,12.8,0.00,1,45,4.0,265,0.0,0
2024-01-03T04:00,11.3,91,10.3,0.00,1,31,7.0,282,0.0,0
2024-01-03T05:00,11.2,85,9.9,0.00,0,1,6.7,286,0.0,0
2024-01-03T06:00,10.7,83,8.9,0.00,0,5,8.8,289,0.0,0
2024-01-03T07:00,9.9,86,8.0,0.00,1,24,8.4,290,0.0,1
2024-01-03T08:00,10.9,80,8.8,0.00,0,14,10.6,288,107.2,1
2024-01-03T09:00,13.3,71,11.3,0.00,0,18,10.7,290,260.9,1
2024-01-03T10:00,14.4,67,12.2,0.00,0,9,12.1,297,410.9,1
2024-01-03T11:00,15.1,63,12.6,0.00,1,28,13.7,300,523.8,1
2024-01-03T12:00,16.2,58,13.8,0.00,1,49,14.2,300,599.6,1
2024-01-03T13:00,17.5,51,15.0,0.00,0,6,15.3,294,603.3,1
2024-01-03T14:00,18.5,46,15.7,0.00,0,5,14.8,293,532.4,1
2024-01-03T15:00,19.3,43,17.2,0.00,0,16,8.2,293,391.5,1
2024-01-03T16:00,18.0,46,15.6,0.00,2,69,10.0,111,207.4,1
2024-01-03T17:00,13.9,70,11.5,0.00,0,18,14.4,112,42.3,1
2024-01-03T18:00,11.4,81,10.0,0.00,0,18,6.4,133,0.0,0
2024-01-03T19:00,13.0,69,11.8,0.00,1,22,3.6,135,0.0,0
