科室,标题,发布日期,详情链接,附件名,附件下载次数,附件链接
【教学运行】,关于2022年清明节放假课程调整的通知,2022-03-29,https://jwch.fzu.edu.cn/info/1036/11914.htm,,,
【实践科】,关于举办福州大学第十六届本科生数学建模竞赛的通知,2022-03-29,https://jwch.fzu.edu.cn/info/1039/11913.htm,,,
【质量办】,关于举办福州大学第三十二场“教学有道”研讨活动的通知,2022-03-24,https://jwch.fzu.edu.cn/info/1040/11905.htm,,,
【教学运行】,关于做好2022-2023学年第一学期排课准备工作的通知,2022-03-23,https://jwch.fzu.edu.cn/info/1036/11904.htm,,,
【教研教改】,福州大学关于开展课程思政示范项目建设工作的通知,2022-03-21,https://jwch.fzu.edu.cn/info/1037/11899.htm,['课程思政示范课程、教学名师和团队申报书.docx'],['1303'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7838154']
【实践科】,关于举办福州大学第二届大学生先进成图技术与产品信息建模创新大赛的通知,2022-03-21,https://jwch.fzu.edu.cn/info/1039/11898.htm,['附件2：福州大学第二届大学生先进成图技术与产品信息建模创新大赛报名表.xls'],['1214'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7838076']
【实践科】,关于2022届本科毕业生创新创业实践与素质拓展学分认定工作的通知,2022-03-21,https://jwch.fzu.edu.cn/info/1039/11897.htm,['学分认定申请表格.zip'],['2883'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7838075']
【综合科】,福州大学关于全面开展线上教育教学的倡议书,2022-03-20,https://jwch.fzu.edu.cn/info/1035/11896.htm,,,
【教学运行】,关于全面启动线上教学的紧急通知,2022-03-20,https://jwch.fzu.edu.cn/info/1036/11895.htm,,,
【实践科】,关于举办2022年福州大学第二十二届数学竞赛暨第十四届全国大学生数学竞赛选拔赛的通知,2022-03-17,https://jwch.fzu.edu.cn/info/1039/11893.htm,,,
【质量办】,关于开展2021年第十九期新上岗教师课堂授课达标考核的通知,2022-03-17,https://jwch.fzu.edu.cn/info/1040/11891.htm,"['附件1 2021年福州大学新上岗教师达标培训班报名汇总表.xls', '附件2 第十九期新上岗教师课堂授课达标考核情况汇总表.docx']","['1521', '1166']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7837792', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7837793']"
